user name,positive or negative,total playing time,number of helpful,content
http://steamcommunity.com/id/Strikey1g/,1,"7,40","
				2,323 of 2,450 people (95%) found this review helpful3,715 people found this review funny			","1, 2015
												Ruined my life.			"
http://steamcommunity.com/id/darknightcze/,1,"5,73","
				773 of 822 people (94%) found this review helpful1,570 people found this review funny			","r 28, 2015
												This game saved my virginity.			"
http://steamcommunity.com/id/the_murdertrain/,1,"2,01","
				674 of 704 people (96%) found this review helpful61 people found this review funny			","ber 9, 2014
												This will be more of a ''my experience with this game'' type of review, because saying things like ''great gameplay'' will not suit something I've experienced with Counter-Strike. Here you go:I remember back in 2002 I was at a friend's house and he was playing a game. I didn't know the name of the game nor I had internet to find it. A few weeks passed by and another friend came over. He didn't have a computer, so he brought a disc with a game in it. He told me that it was one of the best games and from that very moment I knew that it is going to be the game I saw at the other friend's house. When I saw the Counter-Strike logo I was filled with gamegasm (?) and I was so happy. I was playing it hardcore. Made friends, clans, was involved in communities and even made two myself. Counter-Strike is my first game which I played competitively and it was a such an experience. Playing public servers with mods were very fun, but playing it competitively made it very intense and stressful. In a pleasant way, ofcourse. Looking at the current e-sport scene it might not seem like much but back then it was different.Shooters these days try to be different, advanced in a way. Sometimes the most simple games like Counter-Strike are the ones that live to this day. Also, there are plenty of mods to keep your attention to this game. The gameplay is very simple - defend as a Counter-Terrorist, attack as a Terrorist to plant the bomb or save the hostages as a CT. I am sure most of you already know this and I doubt there are gamers that haven't heard or know the gameplay of Counter-Strike, so I am sharing here more of my experience.I wish I could find my CS Anthology account which I've lost since 2008.  So, I decided I am going to buy this game again and here you go - more than a thousand hours played. I still play it from time to time to this day and it brings back many great memories and I sometimes even stumble upon people I've played with years ago. I think Counter-Strike changed gaming in a major way and we wouldn't have many games like we have today, if this game wouldn't exist. I am sure many of people already have played games like CS:GO but never the roots. I doubt any of you will play it for more than an hour, because it's much more simple and it differs a lot in my opinion from CS:GO and modern games. It's harder though.			"
http://steamcommunity.com/id/illbebacksoon/,1,"1,93","
				749 of 819 people (91%) found this review helpful214 people found this review funny			","r 25, 2015
  Easy to learn, hard to master.     "
http://steamcommunity.com/id/Lemas650/,1,284.,"
				650 of 710 people (92%) found this review helpful802 people found this review funny			","er 11, 2015
												No r8 revolver, 10/10 will play again.			"
http://steamcommunity.com/id/hedroks/,1,643.,"
				1,063 of 1,198 people (89%) found this review helpful4 people found this review funny			","ry 7, 2014
												Still better than Call of Duty: Ghosts...			"
http://steamcommunity.com/id/harli/,1,193.,"
				427 of 459 people (93%) found this review helpful480 people found this review funny			","er 1, 2015
												cant buy skins, cases, keys, stickers - gaben cant steal our money10/10 would play again			"
http://steamcommunity.com/id/19049/,1,106.,"
				539 of 602 people (90%) found this review helpful1,057 people found this review funny			"," 2015
												Fire in the Hole Simulator 1999			"
http://steamcommunity.com/id/NioChowECKSDEE/,1,5.2 ,"
				1,027 of 1,137 people (90%) found this review helpful1,939 people found this review funny			","7, 2015
												• Do you like original games?• Do you like games that don't lag?• Do you like games you can run on low end PC's?• Do you like games where you don't meet children who have slept with your mother?Then this is for you!			"
http://steamcommunity.com/id/theplaguedoctor1/,1,823.,"
				409 of 443 people (92%) found this review helpful104 people found this review funny			","10, 2015
												Counter-Strike: Ok, after 9 years of unlimited fun with friends, I have finally quit counter strike. Counter strike, in all of its versions, its just a great FPS game that anyone can enjoy it. Its a great game and all, you just cant stop playing it, you can just sit and play with your friends for days with out stoping. The huge weaoponary option you can choose and the smooth and sound of the game, its just f*cking addicting. With this games I've met so many different people and unique friends. This game is literally G(OLD). To all the young players who are looking for a good cheep and fun game to play with their friends, I highlly recommend on this. I've got (with steam record) 2,484hrs record in counter strike IN TOTTAL,,, and who knows how many more hrs in a non official steam version of this game.... Great Game. GG WP.And too all the people who will keep playing this game, all I can say, as always,  GL & HF <3			"
http://steamcommunity.com/id/Socialistandboujee/,1,147.,"
				608 of 685 people (89%) found this review helpful1,553 people found this review funny			","er 24, 2014
												Every server is spanish or french.I can now fluently swear in both languages 9/10			"
http://steamcommunity.com/id/Direct_xd/,1,"1,39","
				710 of 807 people (88%) found this review helpful1 person found this review funny			","er 25, 2013
												I never played a better first person shooter.Graphics doesn't matter for  gamer, gameplay only.			"
http://steamcommunity.com/profiles/76561198035720497/,1,916.,"
				695 of 795 people (87%) found this review helpful9 people found this review funny			",", 2014
												WARNING : DO NOT buy this game, if you do, you'll never see the sunlight again !			"
http://steamcommunity.com/id/nickdoe/,1,"3,36","
				687 of 793 people (87%) found this review helpful6 people found this review funny			",", 2014
												It's... aight.			"
http://steamcommunity.com/id/mrmimi/,1,754.,"
				298 of 325 people (92%) found this review helpful869 people found this review funny			","y 28, 2015
												I met a lot of people who slept with my mother. 10/10			"
http://steamcommunity.com/id/RealToTheTenThousandthDegree/,1,"6,05","
				362 of 397 people (91%) found this review helpful9 people found this review funny			","y 13, 2014
												CS is one of the greatest and undermined games in history. It is, in my opinion, the bestgame to ever have a crosshair. It is not a contact sport, so for the girly girls, it is an activity to indulge in.It starts off with a team trying to kill another team. I started playing cs when I noticed jacking off isn't the only activity to do on a computer. I started inviting a lot of friends out and getting drinks, as well as a boom box, to spend a nice summer day in the living room playing this wonderful game. I wanted to play every chance that i could. On my road of cs adventures, I encountered a couple of problems; those being that nobody was as fervent as I was about playing, and that when we did play, nobody was good enough, so it wasn't a lot of fun.Then I discovered that I could sign up for a class with dboorn. I was overly excited, and signed up, but with skepticism at how the class was going to be. Sure enough, I was proven wrong. We started off by practicing a little bit. Then we split off into teams and started playing almost everyday of class. I made some friends, and played with people who had built up their skill gradually over the period of the course.When I play counterstrike, the whole world disappears. Only I, the mouse, and my teammates remain. We are united in a common goal. We strive collectively towards an end we all desire. Each player has a spot to hold. They stand ready and waiting, eager for their chance to aid the team in what they hope will be a forthcoming victory. Thus, CS celebrates the unity of man, the indomitable spirit in all of us that pushes us and drives us towards excellence. When I play CS, I play until my veins pump battery acid, and then I play some more.CS is unique among the games because it teaches all of us that no matter where we are in life, there is a role for us to play, and we can help our fellow man by fulfilling that role, and thereby our destiny. What destiny might you ask? I spoke before of unity. And it is that unity that brings us all together like one big loving family. That is the nature of counter-strike; the many working as one. One machine made of well oiled cogs and wheels, moving in unison, happy to play their part in the production of something greater than themselves. Not that these small metal objects are actually animate, I'm of course speaking only metaphorically.Over the course of the years, I have increased in skill, but I have learned a greater lesson than how to be a better cs player. I have learned how to cooperate with a team to accomplish a goal that we all share. Even if that team is less than ideal. I have realized that cs is about more than just one's athletic ability. Instead, there is a deeper meaning behind the colt, the AK, the AWP, the deagle, the sands under my feet (in d2 or inferno). And more importantly, the teammates at my side. I love them. It is the human element of cs that gives cs its greatness.In conclusion, I love cs. I love to win. I love pushing myself to my physical limits. It's that feeling that first drove me to the computer. For every second that I am not playing cs, there is only an unquenchable thirst to play. A thirst that grows as every minute passes by when I am outside, sitting at the television, or playing sports. I had an extraordinary time playing this game, and I will return to look at the future students of this game to see that bright eager look on their faces to remind me of how I used to feel. This review may be over, this game may be dead, but I will never stop playing couner-strike (1.6).			"
http://steamcommunity.com/id/exus1/,1,"1,41","
				323 of 358 people (90%) found this review helpful2 people found this review funny			","16, 2014
												Ruined my life. 10/10			"
http://steamcommunity.com/id/enoetukeno/,1,134.,"
				470 of 541 people (87%) found this review helpful657 people found this review funny			","r 10, 2014
												When you crouch, you lift your feet in the air and fall to the ground. It's allright.			"
http://steamcommunity.com/id/cjhunter/,1,2.7 ,"
				498 of 581 people (86%) found this review helpful			","er 25, 2013
												Best shooter for 10 years. Steam evolved because of this game.			"
http://steamcommunity.com/id/SyllianTV/,1,228.,"
				344 of 391 people (88%) found this review helpful1 person found this review funny			","er 25, 2013
												One of the best FPS Games, the 1.6 Version will stay always in our hearts. I recommend it vor everyone who wants a tactical/action shooter.			"
