user name,positive or negative,total playing time,number of helpful,content
http://steamcommunity.com/id/noxteryn/,0,1.2 hrs on record,"
				272 of 295 people (92%) found this review helpful12 people found this review funny			","
Posted: February 10, 2014
												Apart from this being a boring game with controls so bad that it causes dizziness, I don't recommend this game because of the behaviour of the developers themselves.Because of its low User Score on Metacritic (4.7 out of 10), the devs made an official announcement where they asked gamers to spam-vote perfect 10s in order to manipulate the result, while at the same time calling those who gave them low reviews ""morons"" and ""trolls"", among other insults. When I and a few others remarked on how unprofessional that was, we had our comments and posts deleted, as well as our names included in a very public ""Hall of Shame"" (which was also deleted a few days later) where the developers attempted to ridicule and humiliate us as ""trolls"".When almost no one posted any favourable user reviews on Metacritic, they asked Steam to remove their Metacritic score from the game's store page, as it gave them bad publicity (and that's why it's no longer here), but not before one of the developers (called Alexander ""motorsep"" Zubov) posted a fake review, giving his own game a 9 out of 10.Companies that behave in such anti-consumer ways don't deserve any business.			"
http://steamcommunity.com/id/ownosourus/,0,6.8 hrs on record,"
				33 of 39 people (85%) found this review helpful2 people found this review funny			","
Posted: July 6, 2015
												It's nice, now and then, to high-five top-down shooters with an old-school spirit, especially ones that promise 'hordes of smart enemies', 'destructible worlds', and the under-rated added bonus of 'ground-shaking explosions'.The bizarrely named Kot In Action Creative Artel evidently believes that Steel Storm shouldn't merely ape the endlessly scrolling Xevious style, and instead puts a more exploratory, objective-based spin on the shooting.What follows is somewhat less thrilling, sadly. After bursting through the traps all guns blazing with its explosive scenery and intricate art style, the game quickly settles into a numbing monotony where the incessant rattle of gunfire begins to bore through your skull.Apart from having to destroy anything in range, level objectives tend to have you moving backwards and forwards between two places, disabling force-fields and accessing new areas to take down specific installations.But the one-note nature of the single-player quickly proves to be the game's undoing. One level blurs into the next and the repetition grinds you down. Additional weapons and new enemies help, but it's not enough to save a game that lacks a creative spark and the necessary variety to spur you on. Overall 4/10.			"
http://steamcommunity.com/id/fortheussr/,0,0.3 hrs on record,"
				25 of 36 people (69%) found this review helpful1 person found this review funny			","
Posted: November 12, 2014
												The ideas of a bullet-hell shmup with none of the polished audio, visual, or gameplay elements. Acceleration on your vehicle gives you a sluggish, floaty, imprecise feeling when you try to dodge bullets and stuff. Worst part about it is it gave me motion sickness because of how the camera is always moving based on where you are facing, but also because of the acceleration component of the turning and moving. The gameplay/level design is very old school and simple and consists of completing a certain number of objectives per map. A lot of times you'll be shooting at enemies offscreen or they'll be shooting at you, which is stupid and not fun.			"
http://steamcommunity.com/profiles/76561197969593119/,0,4.1 hrs on record,"
				24 of 37 people (65%) found this review helpful7 people found this review funny			","
Posted: January 4, 2013
												MY NECK HURTS.OH GOD THIS CAMERA			"
http://steamcommunity.com/id/Vazzaroth/,0,0.1 hrs on record,"
				20 of 31 people (65%) found this review helpful2 people found this review funny			","
Posted: January 25, 2012
												I got this as part of a bundle for free and I regret it. Painfully generic combat and graphics.			"
http://steamcommunity.com/id/lordampersand/,0,0.8 hrs on record,"
				47 of 69 people (68%) found this review helpful3 people found this review funny			","
Posted: February 14, 2014
												The game is mediocre at best; horrendous controls/camera married to utterly average content.What takes this from 'blah' to (a more enthusiastic vomit noise) is the complete lack of integrity on the part of the developers.  Do /not/ give these people money.			"
http://steamcommunity.com/profiles/76561198041944840/,0,0.4 hrs on record,"
				22 of 30 people (73%) found this review helpful			","
Posted: February 27, 2015
												Get swarmed by enemies -> Back up to a safe distance -> Shoot -> Repeat. I wish I could say more for Steel Storm. I really wanted to like it and I feel like it has a lot of potential. But it just lacks the elements necessary to keep players coming back for more.+Cell Shaded Borderlands Style Visuals+Guns and Explosions!!-Slow Player Movement-Repetitive Gameplay-Lack of Story			"
http://steamcommunity.com/id/balzzzy/,0,0.3 hrs on record,"
				32 of 50 people (64%) found this review helpful1 person found this review funny			","
Posted: February 13, 2014
												This game is awful. The camera is so poorly designed that it is the only game I have ever played that made me feel sick; my friend and I couldn't even last 20 minutes of gameplay time without feeling nauseous. Save your money and skip over this one.			"
http://steamcommunity.com/id/leonresevil2/,0,4.3 hrs on record,"
				9 of 11 people (82%) found this review helpful			","
Posted: July 18, 2015
July 18, 2015I genuinely forgot about Steel Storm until the trading card update. The 90 minutes I played some years ago wasn't impressive. And coming back to it today, the game is shockingly familiar. The single-player campaign is the same, no improvements or changes stuck out.Unfortunately, that campaign is pretty boring. I played a few more missions this time, but according to the only Steam guide on the game, I've seen almost every enemy except the final boss in just a few missions. The levels are bland, focused heavily on backtracking and trap sections. The AI is nothing impressive, even for 2011 standards, with most enemies being simple to fight. The only challenge of the game is the approach of traps and spawns. Even though these traps quickly become predictable, you can still be quickly overwhelmed as enemies spawn in all directions. Basic enemies can be threatening, and I've lost 100% of my health to a salvo of rockets I couldn't avoid. Due to this, the best approach is to exploit corners and weapons so enemies can't get a clear shot. Going toe-to-toe with hitscan enemies is a fight you can't win, so the strongest approach is to kill them blindly.Pretty simply, the game is very underwhelming. It feels mediocre for a shooter, especially at the price point. Maybe multiplayer is better, but the community is not very active. Steel Storm doesn't really do anything special or noteworthy, and really isn't a game worth remembering.			"
http://steamcommunity.com/id/kony4/,0,4.2 hrs on record,"
				9 of 13 people (69%) found this review helpful			","
Posted: December 2, 2015
												Just a typical arcade game where you fly some tiny♥♥♥♥♥♥in an overpowered ship and shoot other ships which have no chances against your super-mega-awesome-ship. Pretty fun for an hour, but then it gets very repetitive and boring. Do not bother playing it unless you really like this kind of arcade games (in such a case I'd say you should give it a try, at least on a sale), but otherwise it's not really worth wasting one's time.			"
http://steamcommunity.com/id/fimbulvetr/,0,11.9 hrs on record,"
				2 of 2 people (100%) found this review helpful1 person found this review funny			","
Posted: July 10, 2014
												Meh, this game was kind of boring. It is like playing an arcade side scrolling shooter but with no challenging bosses.			"
http://steamcommunity.com/id/ABPAEAE/,0,0.7 hrs on record,"
				1 person found this review helpful			","
Posted: April 14
												it's not good			"
http://steamcommunity.com/id/aginjai/,0,5.4 hrs on record,"
				1 person found this review helpful			","
Posted: February 8
												Playing this game gave me a headache. Controls and camera are nausea inducing. A pretty mediocre arcade top down shooter with no real story element.			"
http://steamcommunity.com/id/likeucare/,0,1.0 hrs on record,"
				11 of 17 people (65%) found this review helpful1 person found this review funny			","
Posted: October 12, 2011
												Very average ""shooter"" kind of game. The AI gets annoying at times like spawning all around you to overwhelm you; then you die... then you restart at the beginning of the level... without your startup weapon.DISAPPOINTING... DO NOT BUY!			"
http://steamcommunity.com/id/TRCheese/,0,4.1 hrs on record,"
				18 of 31 people (58%) found this review helpful1 person found this review funny			","
Posted: September 24, 2011
												Steel Storm: Retribution is a good indie attempt at the shoot’em up genre, but if this came out as an AAA title, it will instantly fail. In terms of graphics, this game is average at best, the lighting is very low-key. I would say it is about the same as Zombie Driver in terms of graphics. The level design, although very nicely colored, is extremely repetitive. The layout is different yes, but the core mechanics of beating the map is the same. On the other hand, the weaponry in this game is fantastic, it’s a shame the devs implemented them completely wrong. Instead of making special weapons into an upgrade system, they made it based off of cool down. As a result, they immediately killed off any chance of re-playability for the game. On the bright side the enemy mechs are nicely done, they look fantastic and the bosses do offer much difficulty and requires mad kiting skills to kill. Overall an okay game to play with some friends for about 15 minutes before boredom kicks in.			"
http://steamcommunity.com/id/necromaster/,1,101.4 hrs on record,"
				19 of 34 people (56%) found this review helpful3 people found this review funny			","
Posted: July 22, 2013
												At its core, Steel Storm: Burning Retribution is a truly fun and exciting shooter game. It has you fighting off waves of enemy tanks while trying to meet various map objectives (sometimes through up-sized levels). The game features 19 levels in the main campaign; an additional 8 level user generated campaign plus an additional 6 maps for skirmish play rounds up the collection. Multiplayer is a doozy with Deathmatch and CTF. Their latest add-on: a free MOBA style game currently in its alpha development stage known as AMMO - Armored Modernized Mobile Operations is great fun to play. So, if you like a ""free-range"" style shooter that has you exploring huge maps, then this game is for you!			"
http://steamcommunity.com/id/krazedlion/,1,4.8 hrs on record,"
				6 of 8 people (75%) found this review helpful			","
Posted: September 18, 2015
												Steel Storm: Burning Retribution is a top down shooter with decent graphics and controls. It has very basic gameplay, pick up upgrades, kill things,  press switches and pick up items. A bit on the generic side with little to no story, but it is enjoyable nontheless. Definitely not worth full price, get it on sale or in a bundle. 5/10			"
http://steamcommunity.com/id/rawkitship/,0,0.7 hrs on record,"
				4 of 5 people (80%) found this review helpful			","
Posted: August 2, 2011
												Honestly not sure about this one. The multiplayer has been nothing but laggy, I don't feel like I'm rewarded at all for deathmatch, thereby making it pointless to play [and it doesn't help that people use cheap tactics like spawn camping], and it's kind of unremarkable. It doesn't help that when leaving the game, it berates you like you're some sort of video game invalid by telling you, ""Sorry there was no Easy Mode for you."" You know what, Steel Storm? If you'd made the game properly, then I'd probably not be quitting so often. I'm just glad I got it for free with the Humble Bundle.			"
http://steamcommunity.com/id/arckal/,0,6.0 hrs on record,"
				7 of 11 people (64%) found this review helpful			","
Posted: February 21, 2015
												I can't say the game is bad, i enjoyed it at the beginning, but hell yeah, the camera is so annoying, you are literally getting♥♥♥♥♥♥♥by ennemies which are out of what you can see. You only have 3 lifes per level, so losing one is a pain in the♥♥♥♥♥ so as long as you can't see what's in front of you....Another big flaw is that the game often relies on the same tricks, with ennemies spawning on your back when you are using a key or loading datas...Still a nice idea, but not really well implemented.			"
http://steamcommunity.com/id/Kim_Jong-Ben/,0,1.9 hrs on record,"
				1 person found this review helpful			","
Posted: April 9
												Typical kind of arcade shooter action game. The 2 things that kill it for me, $17 price tag, and the fact that the game always spawns tons of enemies right next to you. It gets tedious, go to next objective and you get locked in a small room that spawns guys next to you.... again.			"
http://steamcommunity.com/id/oreb/,0,7.4 hrs on record,"
				2 of 3 people (67%) found this review helpful1 person found this review funny			","
Posted: January 25, 2012
												No.  Just no.  Do not play this game.  No.  Bad game. Bad.			"
http://steamcommunity.com/id/iubergeek/,0,0.5 hrs on record,"
				2 of 3 people (67%) found this review helpful			","
Posted: August 4, 2011
												A top-down shooter with unique graphics and objective-based gameplay. A decent game, but not one I would buy outside of the third Humble Indie Bundle--nothing terribly spectacular or novel in this crowded game marketplace.			"
http://steamcommunity.com/id/951Jimbo/,0,8.1 hrs on record,"
				6 of 11 people (55%) found this review helpful1 person found this review funny			","
Posted: September 7, 2014
												This game doesn't offer much to those who aren't inclined to enjoy a top-down shooter.  Its not poorly done, but I think for most of us this style of game isn't very enjoyable anymore.			"
http://steamcommunity.com/id/deathrowgamings/,1,5.0 hrs on record,"
				1 of 2 people (50%) found this review helpful			","
Posted: November 13, 2016
												Gameplay is GoodEasy & responsive controlsMinimum system requirementsBut it is over-priced.6.5/10			"
http://steamcommunity.com/id/hapadura/,1,0.9 hrs on record,"
				3 of 6 people (50%) found this review helpful			","
Posted: June 30, 2015
												Its a good game, 6/10			"
http://steamcommunity.com/profiles/76561198038494992/,0,0.9 hrs on record,"
				2 of 3 people (67%) found this review helpful			","
Posted: January 28, 2012
												Good graphics, good sound. However the gameplay is ruined by the poor frame rate. Apparently this is because the game is not optimized, like it can't handle anything above OpenGL 2. Weren't the developers calling their critics trolls? That's funny. The game's death message tells you to basically stop sucking at the game. Okay, got me there. Oh my sides. Pretty funny coming from a couple of code monkeys who can't make a stable game. Devs, from one troll to another, git gud.			"
http://steamcommunity.com/id/kuvos/,1,2.1 hrs on record,"
				2 of 3 people (67%) found this review helpful			","
Posted: August 16, 2015
												I like this game. It's not perfect, but at least it seems complete. Top down shooters are a bit of hit or miss but this one hits for me.http://played.today/steel_storm_burning_retribution.html


YouTube™ Video: Steel Storm: Burning Retribution, Played Today #12 

			Views: 24		

			The game I played today is called Steel Storm: Burning Retribution. It's a top down shooter and I had fun playing it. Some UI elements could be improved, but overall it's a decent game.		

 "
http://steamcommunity.com/id/verticalcleave/,0,4.6 hrs on record,"
				7 of 13 people (54%) found this review helpful2 people found this review funny			","
Posted: August 14, 2011
												Frequent audio clipping with grating sound effects, bad music, unplayablely strong framerate drops, one dimensional gameplay (dodge shots while holding down M1), uneven difficulty, enemy reinforcements teleporting into the fray ala DA2... the list goes on. I would love to say ""support the poor starving indie devs!"" but this game has no redeeming value because of all the technical and core gameplay problems. Supposedly there is 16-man online multiplayer but I can't imagine the input lag considering more than one explosion on the screen put you into single digit framerates.I got this in the humble indie bundle 3 so I got my money's worth but if you're looking for a shmup/bullet hell on steam, pick up Jamestown instead.			"
http://steamcommunity.com/id/Grimm666/,1,2.4 hrs on record,"
				3 of 5 people (60%) found this review helpful2 people found this review funny			","
Posted: October 20, 2015
												Not worth the full $15 price, but a great game to pick up when it goes on sale.Don't set a goal to sit down and beat this game. It isn't that type of experience. This game is great for picking up and playing whenever you have an hour or two to kill.			"
