user name,positive or negative,total playing time,number of helpful,content
http://steamcommunity.com/id/h-u-n-t-e-r/,1,1.1 ,"
				622 of 791 people (79%) found this review helpful3 people found this review funny			","0, 2014
												good game! bought it for $0.29 got cards worth $0.45			"
http://steamcommunity.com/id/eerieeg/,1,0.5 ,"
				572 of 744 people (77%) found this review helpful413 people found this review funny			","er 26, 2014
												I bought this game for 2 rubles. Then this game dropped 3 steam-cards. Sold them for 2 rubles each. So +4 rubles. Gaben thx for easy money! I am rich now!			"
http://steamcommunity.com/id/NoOneTheSock/,1,2.2 ,"
				275 of 400 people (69%) found this review helpful114 people found this review funny			","r 19, 2014
												Baught for $.29 got $1 in cards 10/10			"
http://steamcommunity.com/id/midas686/,1,2.0 ,"
				216 of 310 people (70%) found this review helpful230 people found this review funny			","31, 2015
												1. Add to cart. 0.14 now2. Play 3. Collect 3 trading cards and sell it4. 0.27 woah :3			"
http://steamcommunity.com/id/keith99969/,1,1.2 ,"
				94 of 129 people (73%) found this review helpful84 people found this review funny			","18, 2016
												I got it for $0.14The trading cards sold for $0.21I made a profit off of this decent game.			"
http://steamcommunity.com/id/Weaverr/,1,0.7 ,"
				172 of 203 people (85%) found this review helpful16 people found this review funny			","er 1, 2014
												Pros:•Amazing concept.•Fast paced gameplay.•Difficult gameplay.Cons:•The graphics are disgusting, they need to hire a new artist.•The game although getting incresingly harder becomes a bit repetitive.Over all, I would say it is above average.This game has sales very often so don't buy it at full price.			"
http://steamcommunity.com/id/rkenney/,1,13.0,"
				96 of 107 people (90%) found this review helpful			","ry 11, 2014
												Defy Gravity is a platformer with a simple concept:  Get from point A to point B by creating attraction/repulsion areas.  The game is simple but fun, and provides a good challenge during the second half of the game.  It can be tricky but the checkpoints are placed in such a way that you're willing to take risks and try new ideas to get past some obstacle - a very important attribute for puzzle games.The only thing that is sub par is the animation (or lack of).  It isn't really needed, but the game has the GameMaker feel, a bunch of sprites just moving around the screen with a short walking animation, which I find kind of off putting.  It isn't important, but it should be mentioned.If you like physics manipulation games or platformers, then I recommend buying this.  The game is $3 at the time of this writing, more than worth it.			"
http://steamcommunity.com/id/nudiustertian/,1,0.8 ,"
				115 of 140 people (82%) found this review helpful			","0, 2014
												It's hard not to recommend this, given that I made a 7 cent profit from buying the game then selling the cards... getting paid to play a game is never wrong. :-)But even ignoring that, I had a surprisingly good time with it. Defy Gravity is your basic puzzle platformer where you have to use an unusual mechanic to navigate levels. In this case, you can shoot gravity fields that attract you or repel you and activate a shield that lets you ignore all gravity fields. By mixing these, you can sort of rocket-jump-grapple-hook your way through levels. Some timed jumping and obstacles that sometimes are and sometimes are not affected by the gravity are there to stop your progress.In the words of a wise man, you're going to die. A lot. The game takes delight in throwing stuff in your way at just the wrong moment. But at the same time, it's surprisingly forgiving with how you swing around the level and you can often brute force your way through tight spots. ""Hectic"" is not a word you usually associate with puzzlers, but Defy Gravity can get pretty hectic -- and that's when it's arguably at its most fun. For me it hits just the right balance between frustration and challenge.The graphics and sound are absolutely nothing special, but in terms of pure gameplay, this is value for money even when it's not 90% off. When it is, of course, it's a no-brainer, just get it. :-) "
http://steamcommunity.com/id/NegimaSonic/,1,4.3 ,"
				78 of 95 people (82%) found this review helpful5 people found this review funny			","er 1, 2014
												I just bought it for cards admittedly (at $0.29), but I actually found it rather fun to play instead of just idling. The game is short so I have to say only buy it on a major sale, but well worth the time if these kind of games interest you.Gameplay wise it is a fun platformer, and does remind me a bit of Portal. It isn't an exact copy though, instead of Portals, you manipulate Gravity to repel and attract yourself and other objects. The momentum and physics of the game is fun to toy with, though it CAN be frustrating at times. Checkpoints are placed in fair spots of most stages to reduce frustration, but later stages stretch this out quite a bit so you will have to keep on your toes or be prepared to die again and again.I did beat the main story but I decided to leave before continuing deep into hard mode. It takes away one of your powers and while I do feel that's an interesting challenge, I'm satisfied with just beating the main modes.			"
http://steamcommunity.com/id/iN008/,1,2.1 ,"
				61 of 70 people (87%) found this review helpful4 people found this review funny			","6, 2015
												Defy Gravity does one thing wrong in my books, it undersells itself. look past the jarring graphics and you'll find a stupendously gratifying puzzle platformer. Buy it yourself and you may just be taken aback by what you find, a real diamond in the rough.			"
