user name,positive or negative,total playing time,number of helpful,content
http://steamcommunity.com/id/GunslingersRequiem/,1,4.8 hrs on record,"
				52 of 61 people (85%) found this review helpful1 person found this review funny			","
Posted: December 13, 2013
												Picked this game up on a whim for $2.49 because I figured, ""Why the hell not?""  Let me say, I'm so glad I did!  The combat is user-controlled and terrific, the equipment altering interface is very simplified yet is made complex by the innumerable additions and expansions found throughout the game.  And if you like loot, well, this game has a TON of it.  From someone who played Eve Online and found it to be rather droll and nigh impossible to be an effective addition to the world, Zigfrak ""scratched that itch"" for me in regards to free-roam space exploration games.  I also really appreciate the physics of the game and how they are implemented to provide an engaging starfighter experience.  Definitely recommend!			"
http://steamcommunity.com/id/stickyhamster/,1,1.1 hrs on record,"
				64 of 88 people (73%) found this review helpful			","
Posted: December 13, 2013
												Imagine the look and feel of Freespace combined with the mechanics of an ARPG and you will have a good idea of what Zigfrak is all about. Years ago I was the 18th person to purchase the game and now that he has continued to pour a ton of work into the game and its now made it to Steam I hope that many of you purchase this absolutely spectacular game.  I look forward to watching Zigfrak evolve more and more and its just going to get better.  Congratulations Alex!The game has extensive options so you can tweak the game to the point where its the best for your PC and there is only one thing that I wish would be added into the game, and that would be the ability to make the ingame text size larger.  Its not crippling microfonts like some games but I wish I could bump it up a little.  That being said do not let that discourage you from buying the game--the font is clear and not too tiny.  This is a game that you will be able to get MANY hours of enjoyment out of and if you don't purchase it you will be missing out on a great experience.  The controls are wonderful and the interface is intuitive. "
http://steamcommunity.com/id/dimon222/,1,22.8 hrs on record,"
				43 of 49 people (88%) found this review helpful1 person found this review funny			","
Posted: October 26, 2014
												Amazing totally underrated game. I have completely no experience of playing such galaxy-freeonroam games, but I had a lot of fun.It includes brilliant OST, pretty good graphics and all that fits in less ~500 MB game size. It takes some time to learn how to play it, but it definitely worth it.Must have.			"
http://steamcommunity.com/id/WhiskeyTangoF0xtrot/,0,4.8 hrs on record,"
				103 of 154 people (67%) found this review helpful			","
Posted: December 14, 2013
												Released in late 2012 and just recently on steam comes Zigfrak. With a name seemingly produced by a name generator, Zigfrak is an action RPG set in space. The game drives the player through a single player story but the player is free to roam off the beaten trail to explore or engage in side-quests. Zigfrak was a game that I wanted to like as I love space exploration action RPGs ever since Escape Velocity. Unfortunately, in my opinion suffers from some key flaws. Playing this game it's fairly obvious that this game borrows alot from MMOs such as World of Warcraft, which is not something I would necessarily want in a single player game. A lot of quests are tedious and uninteresting ""go here and click on this"" tasks. There's a lot of loot in the game to collect, which might generate some interest and motivation to play, but this mechanic feel a bit cheap. A lot of sidequests are collection questions that just involve collecting a specified amount of items and cashing them in for a reward.Since this game is inspiried by MMOs I don't think it really respects the player's time; for example at one point the player must battle a spacestation with a friendly fleet. It took me nearly 45 minutes to deplete half of it's health. Aside from this, the action is fairly average. The weapons don't have a particularly notable feel and I didn't get a sense that I was actually hitting a target. Instead I just held down the attack buttons until I saw the enemy's health bar lower.  To it's merit, when a 'hacking minigame' came up I was given the option to fight enemies instead. I aprpeciated the option to focus on the game's core gameplay instead of getting pulled off into some minigame. In terms of production value, the graphics aren't anything to write home about and many things in the game simply don't have any sort of sound effect. There is no USB controller support for this game.If you like MMOs and space exploration RPGs and you want a single player game you might find this game fun, otherwise there are better options for you.  I played this game a little over 3 hours, giving it a chance to get me interested but it failed to really inspire me to play.Score: 5/10			"
http://steamcommunity.com/id/PoobahGorg/,1,98.2 hrs on record,"
				23 of 25 people (92%) found this review helpful			","
Posted: May 14, 2014
												GET THIS GAME! Unless you're Maverick. Zigfrak is a pretty awesome game. It's amazingly beautiful, but for reasons I can't begin to fathom it has never overheated my laptop. Not even when I accidentally left it running paused and the temperature in my room was in the mid-80s during the afternoon hours (my room sadly faces west). Even games that are 3D only as window dressing tend to overheat my laptop (RTS games, XCOM Enemy Unknown, and many others). This game I could probably leave running for a week.This game is what I'd term a casual space RPG. What I mean by ""casual"" is that it tends to avoid the micromanagement most RPGs entail. Unlike most casual RPGs it IS pretty and there's a very wide variety of enemies and components you can add to your ship. No really, there's TONS of things you can upgrade your guns, shields, armor, missile launchers, whatever to. Going along with the casual game theme, they're often whimsically named. Inconvenient realism tends to get glossed over in this game. You're only allowed to carry so many of each object. Once you hit that amount, it automatically converts those items into the type of credits you spend at a trade station (there's at least three forms of currency, which makes game economics all kinds of interesting).The author loves puns and references. There's an alien weapon type called ""strange."" So one of the weapons has an effect called ""When you're strange."" And given that certain of the higher-end weapon names are prepended with ""tweaked"" they put in one weapon called ""Tweaked Morrison."" The references vary between movies/sci-fi (obviously) but you can also find weapon types like Larry, Curly and Moe. I want to hope that Moe is the most effective, with Larry being the less-interesting mid-range model.It's also a fairly sandboxy game. While there's an arcing storyline, you can freely ignore it if you want, and just go about fighting, looting, crafting or whatever.The author is AMAZINGLY responsive and non-dickish (even when folks are being critical). Seems willing to take a look at your saved games in order to track down bugs (or just fix your stuck game for you). It's almost unbelievable how responsive he is given that it's a $5 game. I almost feel guilty mentioning that it's fairly easy to come by coupons for this game...The only reason I mention my friend Maverick up top, it's not his type of game. While I wouldn't call the game overly easy, it rather shamelessly lists as one of its selling points that it's a click, kill and loot game. It even describes the things you kill as ""loot pinatas."" I like the honesty there, it lets you know that this wasn't done by accident or poor design. This game is for people who like getting loot. It's a nice palate-cleanser for my Shadowclan friends *snickers*. Money is easy enough to come by (and if you putter away a few hours in certain areas you'll be absurdly comfortable). You could also avoid doing as I did to get a ""more balanced"" experience. It shouldn't be TOO hard to get the things you'd want to buy (in the unlikely event they don't drop as loot somewhere).			"
http://steamcommunity.com/id/brianrubin/,1,2.6 hrs on record,"
				66 of 93 people (71%) found this review helpful			","
Posted: December 13, 2013
												I've put several hours into the pre-Steam version of the game, and it's a BLAST. Funny, fun to play and very high energy, if you want a fun, ARPG loot chase in space, this is your game. If you want to know more, please check out my review here:http://www.spacegamejunkie.com/reviews/zigfrak-funny-action-space-romp/Enjoy!			"
http://steamcommunity.com/profiles/76561198004957510/,1,3.7 hrs on record,"
				38 of 49 people (78%) found this review helpful			","
Posted: December 13, 2013
												A game this cheap has no business being this good.Despite an interface which can be a little tricky to learn, this is a solid game experience. Destroyed ships litter space with tons of loot: ammo, guns, vendor trash, crafting components, etc. So much so that it can be a bit overwhelming in the early going. I've only scratched the surface of this one, but it seems surprisingly deep.			"
http://steamcommunity.com/id/FridayBiology/,1,29.8 hrs on record,"
				27 of 32 people (84%) found this review helpful15 people found this review funny			","
Posted: March 9, 2015
The short review is buy the game, the dev is a hobby dev and you'll probably jump in and out of the game every now and then for your monthly Zigfrak fix. Which is good for addicits because something is always coming and everything adapts/levels with you so you'll need to adapt and change. Every battle is different.I've a guide 


Blind . Zigfrak 
A Guide for Zigfrak
By: FridayBiology

			Hey, noticed that there is hardly guides available to players so i'm making my own as i go.		


I've a letsplay COMINGThough lets just think a minute ... Do you care about reading dialogue ?> if yes, Awesome. Buy this game . go explore and kill or whatever you want to do...while thinking about your decisions> if no , Awesome. Buy this game . go explore and kill or whatever you want to do...while not thinking ... just destoryingDo you think you'd carry around that lvl 3 Quirky SmartAss Missile until your level 15 because it looks cool?> if yes, heck yeah its awesome.> if no, hey look, something else thats not just a reskin of other stuff with better stats but, actually a different item.Have you seen a spaceship shoot homing mines that actually act as mines that act with proximity to targets?> obviously not, becuase you're currently reading this review and you probably haven't played this game.Ever wondered what it'd be like to be stealthed in the middle of a Five Faction Battle ?> You get a stealth cloak in the third major quest.Ever wondered how much loot that battle results in ?> Its alot though you'll have grab what you want quick cos there are always scavagers and Enforcers about.Ever battled your-AI-self?> you will, it is a random event, one of you will die.Confused Painful memorys?> yeah, you've just killed your self, saving your past self from killing your future self. Yay future self.You woke up?> yeah, it was all a dream. Look out! Giant space bats are attacking you from the rear.Been eaten by a god-like entity?> you can do that, there is an epic 100 - 1 battle.Ever played poker in-game against mob-bosses for control of sectors as well as cannolle?> you can do that, watch them though cos Lenny cheats.> Sammy the Rat is actually a Rat. you'll need to read that document you just receivedDon't want to read?> ♥♥♥♥ it kill them all and earn glory through bloodshed of possible poker cheaters.Read the document in the end and had a good laugh?> sadly i got the joke after killing all the mobsters ... [lie] ""its in the mail""Ever played hide and seek with a non-entity-entity?> you can do that, it is fun.			"
http://steamcommunity.com/profiles/76561197993423353/,1,15.2 hrs on record,"
				20 of 22 people (91%) found this review helpful2 people found this review funny			","
Posted: November 20, 2014
												This game is amazing. It has big boss battles, hilarious mission lines that you have to finish because you want to know what happens next. It has a huge loot table and if you don't get loot you want you can craft your own and then add looted modifiers to it. I was put off by the graphics at first but the insane, techno light show of the first boss changed my mind. This game can be beautifully trippy at times combined with a nice, pumping soundtrack. And it's $5? Unbelieveable.			"
http://steamcommunity.com/id/ageofarmageddon/,1,24.4 hrs on record,"
				13 of 13 people (100%) found this review helpful			","
Posted: November 27, 2014
												Combines the feeling of getting that epic Legendary drop from games like Diablo or Borderlands with solid 3rd person spaceship combat. Coupled with some nice customization options, lots of weapon variety and a fun story and you have a real winner on your hands.For $5, it's an insane bargain!			"
