user name,positive or negative,total playing time,number of helpful,content
http://steamcommunity.com/id/drakzgg/,1,251.,"
				1,973 of 2,112 people (93%) found this review helpful1,363 people found this review funny			","r 29, 2014
												""Oh, i just bought this gam-"" -Killed by a Bee.""Ok, one more try"" - Killed by a Bee.""100 days!, 2 giants, 4 seasons, I'm invincible!"" - Killed by a Bee.The Tim Burton style fits this game perfectly, with a bit of survival, and fighting.>You will fight Giants, Spiders, Metal Chess Things>You will find Berries, Carrots, Bunnies>You will have to kill the Bunnies to get Morsel, Pigs/Beefalos/Tallbirds (yes, birds that are, guess what, TALL) to get Meat, Spiders/Merms/Werepigs to get Monster Meat>You will have to cook all of them if you want to survive.>You will have to build a shelter if you want to survive.>You will be INSANE, totally INSANE.>You will see things. A lot of things.>You will starve.>But most importantly... YOU WILL DIE. A LOT.			"
http://steamcommunity.com/id/inserttitlehere/,1,100.,"
				1,120 of 1,197 people (94%) found this review helpful7 people found this review funny			","er 26, 2013
												One of my absolute favorite games. It's quite a challenging game, especially until you get the hang of things. It's a dark, twisted survival game where pretty much everything is trying to kill you. You've got to scavenge, build things, and defend yourself, all while trying to pay attention to the environment (weather) and the fullness of your stomach. The developers also seem to be constantly updating the game and adding huge amounts of awesome content for free. It just keeps expanding and you just keep wanting to play again and again. Highly recommended!October 2014 Edit: Multiplayer is coming to Don't Starve! It's currently in closed beta at the moment, but should be coming along eventually!			"
http://steamcommunity.com/id/estier/,1,100.,"
				1,194 of 1,292 people (92%) found this review helpful25 people found this review funny			","er 20, 2013
												Don't Starve is one of the games I will never forget!I'm sure you ask yourself why? Let me explain:When I saw the game I were like ,,Naahhhh I'm not going to buy this.'' but a few days later I looked a second time and tought ,,Why not?It looks funny. And it says you can celebrate with your piggy friends.''  that was when I bought it. I can tell you I got addicted to the game. The first day I played 12 h's. I told my brother and my friend they should buy it. They did it and got addicted, too. I think nearly every Computer can run the graphics and the the characters are funny, too. With every game I started a new story war born. For example I started my first game and forgot to make a fire when the night came up I died and I was like ,,Why?I should have know''. And I learned with every new day that the game hates me. The game likes to punch you in the face. And the community is amazing. In the forums you can see artist, storywriters, survivers and so on. Pretty fast updates with new content to explore and even merchandise. It's a tip for everyone who like survival games. You will love it.Graphics: 10/10Gameplay: 9/10Sound: 10/10I hope you enjoyed my review.If yes press the like button :§D			"
http://steamcommunity.com/id/ZontarZon/,1,172.,"
				422 of 435 people (97%) found this review helpful160 people found this review funny			"," 22, 2015
												Do I recommend this game? Hell yes. Every single time you start a new game file, it's an entirely random generated world where nothing is the same as the last. You can play this game for weeks and still not discover all its secrets. It's a sandbox strategy game that keeps you on your toes for anything and everything that's trying to kill you. And believe me, there's a hundred and one monsters who all want your face on a platter. GAME TIPS:1. Always have a means to make fire. Always.2. Pigs are your friends. Build your base near them.3. Spiders are not.4. BEWARE THE BEES. 5. Beefalo herds are awesome. Fill your pockets with their endless poo. Great fire fuel.6. Prepare for periodic hound attacks. Make spears and tooth traps.7. Pick flowers. 8. Not starving is the LEAST of your worries.			"
http://steamcommunity.com/id/westbrook12/,1,71.3,"
				292 of 309 people (94%) found this review helpful3 people found this review funny			","7, 2014
												This survival rougelike is excellent. You are trapped in a cruel, randomly-generated world where everything wants to kill you, and left to fend for yourself in the wilderness. You will start off with nothing, collecting supplies to make a fire and survive your first night. The goal is simple -- survive for as long as possible.The randomness of the world generation keeps it fresh for every playthrough. There are countless ways to die, ranging from freezing to death to getting mauled by a tentacle. Once you die, you will be forced to start anew, which can be frustrating.I seriously love this game, and it really is worth picking up. You should also pick up the DLC which adds a lot more challenge to the game. This game is EXTREMELY addicting.			"
http://steamcommunity.com/profiles/76561198035368390/,1,118.,"
				203 of 212 people (96%) found this review helpful48 people found this review funny			","4, 2014
												You desperately fend off Eldritch horrors manifested by your own insanity while you turn your fallen friends' remains into a colossal bat made out of ham and run from a giant badger who shares a fondness for your dead compatriots. The sun begins to set, counting down the seconds before you are struck blind, tethered to a flickering light with the terrors of the night. Forests are mowed down behind you as the beast pursues.You dive into a sinkhole that dumps you into a pitch black cavern where you are promptly mauled by a horde of spiders and rabbit-people. You scream in terror as the light from above grows fainter, the rabid shrieking of gigantic insects growing louder and louder.10/10, extremely relaxing game.			"
http://steamcommunity.com/id/rackliu/,1,13.6,"
				732 of 858 people (85%) found this review helpful830 people found this review funny			","r 18, 2014
												skipped my lunch and dinner playing this gameliterally starved/10			"
http://steamcommunity.com/id/ChazzyIsToast/,1,7.5 ,"
				480 of 540 people (89%) found this review helpful800 people found this review funny			","ry 18, 2015
												You will die.Spiders will murder you.Hounds will murder you.Bunnymen will murder you.Trees will murder you.Tentacles will murder you.Shadows will murder you.Giants will murder you.Penguins will obliterate you.Bees will f**king destroy you.And that's only if you don't starve first.			"
http://steamcommunity.com/id/DoctorMozG/,1,9.6 ,"
				243 of 260 people (93%) found this review helpful7 people found this review funny			","r 17, 2014
												Don’t Starve starts off slow and punishing and continues to get even harder as you play. Its merciless difficulty coupled with its monotonous gameplay can leave some players feeling frustrated and bored. Those who enjoy a good challenge, however, will relish in the satisfaction they’ll get when they manage to outlive their previous record or clear the game’s evil Adventure mode. It may not be for everyone, but if you’re looking for a roguelike game filled with charm and challenge, be sure not to miss Don’t Starve.			"
http://steamcommunity.com/profiles/76561198083295378/,1,40.3,"
				288 of 317 people (91%) found this review helpful306 people found this review funny			","er 9, 2014
												A great, fun game to play in your free time.Includes  deaths  features like:StarvationOverheatingFreezingOver-ExposureBEES!Tree Giants of Meanie-nessGoing InsaneDeath(The funny thing is, most of the time you don't die from starvation...)			"
