user name,user level,positive or negative,total playing time,number of helpful,content,Action,Adventure,Racing,RPG,Simulation,Sports,Strategy
http://steamcommunity.com/id/heikkito/,52,1,6.5 hrs on record,"
				29 of 31 people (94%) found this review helpful2 people found this review funny			","
Posted: July 15, 2014
												Mixed bag this one. At a price of 9,99€ i can not recommend it but if you can get it for a couple of euros it's definitely worth it. 2-5 euros is the price point i'd give to this game that Akella left a bit too rough on the edges.  Good:- Sometimes you get the 'being there' feeling. - Skirmishes around a convoy can be epic as you try to struggle your way through- Looks pretty good though forget DirectX10. doesnt work for anyone. i play with 9.0c settings. - Detailed guns and boats and crew. - Good enough UI once you learn it's quirks. - Good enough and fun enough management of destroyers and other ships under your command if you got any. - Good looking smoke - when it decides to stay visible. Bad- UI is rough in the corners. also forget about modern day markers telling you exactly what to do - instead listen closely what the instructions are and follow them - or try to work yourself around them. (i.e. go to sector G-7 and look for a convoy - how about going north of that and trying to look there first where they might be heading)- Damage models - i dont understand what determines who wins and who loses fights between PT boats. sometime crew fly around after direct hit. sometimes you can dump a lot of ammo on an enemy and still go down with the fishes. - Better like restarting missions all the time. Allies first mission took me some 10 tries. (mission does randomize convoy consists (?) and locations a bit so every mission is slightly different even if you retry the same mission over again). - Missions are locked and you can only advance through the hard way - Hard to say how much content there really is here  - 3 tutorials in the beginning though that you really should do.			",775,311,45,87,97,7,148
http://steamcommunity.com/profiles/76561197987184284/,11,1,25.0 hrs on record,"
				11 of 13 people (85%) found this review helpful			","
Posted: August 6, 2013
												this is a must have for any WW2 navy geeks..ultra realistic, tough missions, great graphics, detailed modelling.  I recommentd the Pt  BOAT  gold pack as both original and expansion are worth the price at $14.99			",0,0,0,0,0,0,0
http://steamcommunity.com/id/dmkiechle2010/,35,1,1.2 hrs on record,"
				7 of 9 people (78%) found this review helpful			","
Posted: April 6, 2013
												A mix of Battlestations Midway and Silent Hunter. Runs perfectly for an older game as well.			",161,16,0,7,16,0,20
http://steamcommunity.com/id/yellowdart/,3,0,1.2 hrs on record,"
				6 of 11 people (55%) found this review helpful			","
Posted: March 29, 2015
												The game could be really cool - and honestly isn't that bad when you get it to work.  Do direct x 9 and you may get it to work for a while but it hard locked my computer after playing for a few minutes.			",932,283,50,129,138,9,186
http://steamcommunity.com/profiles/76561197965370010/,2,1,3.1 hrs on record,"
				1 of 2 people (50%) found this review helpful2 people found this review funny			","
Posted: August 27, 2016
												Great game!...Warthunder also think it is a great game!			",0,0,0,0,0,0,0
http://steamcommunity.com/profiles/76561198084406381/,29,0,0.9 hrs on record,"
				5 of 15 people (33%) found this review helpful2 people found this review funny			","
Posted: May 21, 2014
												the game has great graphics but that's about it. The interface is dificult to understand and hard to use. The tutorials are confusing. Needs a lot of work to be playable.			",2,0,0,0,3,0,1
http://steamcommunity.com/profiles/76561198293305453/,41,0,1.2 hrs on record,"
				1 of 7 people (14%) found this review helpful			","
Posted: May 10, 2016
												Very poor, promises plenty delivers little, even in the tutorial the interface does not work, plus the horrendous racist german voice overs are enough to completely ruin what could have been a good game, garbage, avoid!			",5,0,0,0,6,0,4
http://steamcommunity.com/profiles/76561198116082152/,12,0,0.6 hrs on record,"
				1 of 8 people (13%) found this review helpful1 person found this review funny			","
Posted: January 13, 2015
												Something different... but rather fussy when it comes to crontrols, graphics, screen size and on/off switchen when running multiple monitors.			",42,2,2,0,15,0,1
http://steamcommunity.com/profiles/76561198031114879/,11,0,5.3 hrs on record,"
				1 of 11 people (9%) found this review helpful			","
Posted: April 22, 2012
												This is a truly horrible game.   I tried to play it for a couple of days then uninstalled it.			",0,0,0,0,0,0,0
http://steamcommunity.com/profiles/76561198008462858/,14,0,26.2 hrs on record,"
				7 of 18 people (39%) found this review helpful1 person found this review funny			","
Posted: April 13, 2014
												Barely passable, totally missed out on the Pacific and ALL American boats, there's no customizing boats like the US did, crews are killed off imediatly, missions are hard especially because you can only really control the PT boats and the computer crew is very bad at decision making, such as firing at a target. Tarpedo sights are bad, hip shooting works best. Poorly thought out game overall.			",0,0,0,0,0,0,0
http://steamcommunity.com/id/Rubberjohnny/,8,0,0.1 hrs on record,"
				3 of 16 people (19%) found this review helpful			","
Posted: June 21, 2014
												Crashes on launch. You must butcher visuals to get it to function. Skip this turd.			",249,12,16,13,48,2,43
