user name,positive or negative,total playing time,number of helpful,content
http://steamcommunity.com/profiles/76561198025051194/,0,152.6 hrs on record,"
				640 of 654 people (98%) found this review helpful9 people found this review funny			","
Posted: January 24, 2015
												It took me several hours and several visits to the forums to unravel Kinetic Void.  Once I deciphered it I saw enough promise in the idea to purchase a second copy for a friend.The game was flawed but it was Early Access. Lots of things didn't work as expected.  Some things didn't work at all.  There was little correspondence between the sparse documentation and game play.   I put the game's developement somewhere between late Alpha and early Beta.  Then, almost without warning, Kinetic Void went to full release.  The broken parts were still broken.  The unfinished parts were still unfinished.  The devs claimed they had delivered what they had promised but that they would clean up the remaining rough edges.Several months  later the edges are still as rough as they were at _release_.Ship building works well enough but there is a lack of detail.  All components engines, turrets, hull, weapons have a generic, unfinished feel.  The mission system doesn't work but combat mostly does work.  Trade & inventory management are overly complex and nearly indecipherable.   Movement & control work but the interface is inconsistent.The Devs are a small team.  Apparently there are only three of them yet theyconsistently  have ignored offers of help from the community.Perhaps it's project burn-out.  Perhaps the devs will find a second wind and, with a mighty effort,  put a playable game together.  I wouldn't count on it.Put your money somewhere else.Two sad thumbs down.			"
http://steamcommunity.com/profiles/76561198034472979/,0,2.1 hrs on record,"
				204 of 218 people (94%) found this review helpful2 people found this review funny			","
Posted: October 28, 2015
												DO NOT BUYGame is unfinished/unplayable and has been abandoned by the developer.			"
http://steamcommunity.com/profiles/76561198036360341/,0,4.4 hrs on record,"
				196 of 214 people (92%) found this review helpful2 people found this review funny			","
Posted: June 13, 2015
												DO NOT BUYGame is unfinished/unplayable and has been abandoned by the developer.			"
http://steamcommunity.com/profiles/76561198019183336/,0,6.0 hrs on record,"
				307 of 335 people (92%) found this review helpful4 people found this review funny			","
Posted: December 13, 2014
												I bought this game a while back looking for a fun space sandbox and was highly dissapointed. Given that it was early access I decided I'd wait a bit, see if they managed to turn it into something actually worth playing. Well it's been a while since then, and guess what? Not at all what they promised... The only improvements they've made were incrimental or pointless. Moreover, the devs have attempted to silence negative reviews on numerous occasions. This is poor development and shady buisness and it's dispicable. Seriously, I want a refund but I know I won't ever get one... these devs plain lied to their customers. Don't buy this game!			"
http://steamcommunity.com/id/Jonsta/,0,1.1 hrs on record,"
				163 of 198 people (82%) found this review helpful15 people found this review funny			","
Posted: November 24, 2014
												Just went and played it after many months of giving it a miss due to lack of content. First starting up the game I get a 'tutorial' box saying ""We should never see this message!"". I click to continue to find out the button is inactive. After seeing that, as far as I'm concerned, this is not a 1.0 worthy product, and it is certainly not a 'game'. Can I have my money back, please? You guys are almost as deluded as the guys who made Starforge.UPDATE: The♥♥♥♥♥♥♥♥have even disabled comments on their update announcements because of all the (understandable) hate they're recieving. This is censorship. Give me my ♥♥♥♥ing money back you scamming♥♥♥♥♥♥♥			"
http://steamcommunity.com/id/RedEagleLXIX/,0,2.2 hrs on record,"
				145 of 165 people (88%) found this review helpful4 people found this review funny			","
Posted: September 11, 2015
												Another overly ambitious Kickstarter that has ended early and incomplete.Many missing features, gameplay is lackluster.If you can get it dirt cheat or in a bundle might be OK, but do not pay full price.			"
http://steamcommunity.com/profiles/76561198007314122/,0,0.7 hrs on record,"
				272 of 299 people (91%) found this review helpful1 person found this review funny			","
Posted: November 22, 2014
												Backed this game for 50 bucks on Kickstarter. Almost 3 years later its still a horrible game. The shipbuilder was pretty nice. But thats pretty much the only enjoyable part of the game. Also runs pretty choppy on high end PC's. Cant believe they actually released this as a finished product, but I guess they just gave up and got tired of working on it. Also massively overpriced. You can get X3: Albion Prelude, a very superior game for 10 bucks. Had a lot of hope for this game, just another Kickstarter let down. (Nov. 22, 2014)			"
http://steamcommunity.com/id/lOriginalR/,0,0.4 hrs on record,"
				151 of 161 people (94%) found this review helpful5 people found this review funny			","
Posted: March 27, 2015
												DEVELOPER NOPE - Try the X series instead (minus Rebirth).TL;DR version:  This is a case where the developer literally took the money, padded their Steam library full of games to work hard on ""developing"" and then after the rest of the team QUIT the lead developer used the remaining money to start up a physical game store in a mall while LYING to those who bought KV that there was no more money for development - check the bottom image for a good list of why this game's development died to be Spacebased from Early Access.Somehow, my hours played got reset despite checking the game out when it had promise (I actually had to boot it again and checked out the minor additions since this title was given the ""Spacebase 1.0 Treatment"".  It was obviously pushed out too early considering part of the ""finished game"" has ""(Not currently implemented)"" placeholders.  Development was chugging along, albeit slow, but most folks knew that when they were getting into the game...and could forgive that easily.The main problem isn't the gameplay to be found in the game, as it has a decent foundation with a ship builder and more (almost like a 3D Drox Operative)...but outside of that, there really isn't much to the game still, and unfortunately due to developer meltdown there probably never will be. This is another Early Access dud where they slap a 1.0 on it (to cash in on the sales that might generate...which it did not), expect the community to finish it, then spend time making excuses about how Steam wouldn't allow them to put it back into the Early Access program while lashing out at their customers for not crowdfunding someone's dream and being happy about the results when it was prematurely released with poor communication surrounding it.That is exactly what LumberingTroll (developer) did, and when people pointed this out in a thread asking if the game was still being developed - after the dev wasn't communicating with the community shortly after the ""Spacebase Treatment"" of slapping a 1.0 on a title then bailing to start up a physical game store without letting those following the game know what was going on in dev plans - LumberingTroll called everyone ""♥♥♥♥♥♥♥♥"" and then deleted the thread when it appeared that he might have to face responsibility for his own actions.Yes, apparently game developers - the REAL Steam customers while everyone else is supposed to be happy with poor faith business practices - are allowed to break the Steam posting rules whenever they feel like it and can only be held ""responsible"" by deleting the incriminating evidence from the virtual sandbox Steam gives them to do whatever to the ""lesser customers"" - also known as ""marks"" - only when it embarrasses them.The problem with that is that people were otherwise mostly forgiving up until the ""Spacebase Treatment"" and the childish forum whitewashing.You thought you had a problem with ""bad reviews"" before, LumberingTroll?You just gave people reason to write more.Maybe next time you'll bother to treat your customers in the same respect you wish to be treated, but until this developer does some serious reparations I would suggest to avoid the developer's dysfunction at all possibilities.  Those antics changed my position from a silent ""wouldn't recommend until it becomes more complete"" to a ""until this developer removes their head from their backside, continuing to pay attention to them might in itself deserve a refund"".LumberingTroll:""You are all being ♥♥♥♥♥♥♥♥ and this is why most developers refuse to reply on forums. KV was released early, yep, nothing new ive said that before. Valve wont let me put it back in early access so there is nothing I can do about that. KV isn't generating money, I cant put funds into its development right now, I work on it when I can in my spare time. I am hoping we (the two people still at the company) can put out a small project to generate some revenue to fund development. Like it or not the game is as it is for now. I'm sorry some of you feel your $5 - $20 was wasted. If you guys dont want to be civil I'll gladly just avoid the forums from now on like most developers do.""Blame the customer?  The customer writes reviews to that effect.Edit 26 Apr 15:  Screenshot of developer banning someone for reporting the developer's comment for being in violation of the Steam Rules:  http://imgur.com/nyzSXdjScreenshot of developer asking for feedback about why customer reviews were so negative: http://i.imgur.com/EmJ9cPV.pngSomeone gives the developer this info (long after the dev bailed from the title except for excuses), to which the developer disagreed enough that they deleted the entire thread:http://i.imgur.com/8vcRzdl.pngEdit 30 Nov 15:  LT continues his practise of whitewashing the forum of his misdeeds, namely running off to go start a physical game store after expanding his game library and his own KS backings substantially a bit after the Kickstarter, while those who point this out whenever LT plays up the ""barely able to scrape by starving developer"" farce get permabanned and purged from the forums:http://imgur.com/0P092rkHere is an article describing where the remaining funds for developing KV went to:http://www.argusleader.com/story/news/business-journal/2015/08/11/badland-games-caters-board-game-players/31505761/ "
http://steamcommunity.com/profiles/76561198082489007/,0,77.5 hrs on record,"
				129 of 139 people (93%) found this review helpful1 person found this review funny			","
Posted: January 28, 2015
												I bought and backed this game 2 years ago, when it was in fledgling alpha state. My first Early-release, too.I was an active part of the community at the time, doing screenshots and showing off ships, complementing eachothers' ships, writing guides, giving feedback to the developers.6 months later I grew tired of the slow updating (as well as the game) so I stopped playing it as actively as I once was. 3 months after that I stopped completely.I patiently waited for new updates that came once per 3-4 months at a time sometimes, and briefly brought myself to speed with how things were.Then they began to rush the release. I could tell because they suddenly sped up the alpha states faster than the content actually generated. From .022 to a .#, and then to simply d.#, like they were trying to rename the process to give the illusion of progress. Then the release came. I, like many other backers, was immensly disapointed with the game.While real progress was made in these 2 years, the progress could have easily fit into one year. Don't get me wrong, the shipbuilder is GREAT. Or, at least last time I checked.But then you're in space. It can get really laggy, and there isn't much to do. I don't mind having all the lore of the universe in your head, but developers promised economy systems, intricate faction mechanics, ect. Nothing is intricate.Even if this was still in alpha I would give a shaky reccomendation at best. Progress was slow, but continuing.But this 'release' gives me the feeling that this game is rather a let-down.Sorry, but I'm disappointed.			"
http://steamcommunity.com/id/heikkito/,0,4.4 hrs on record,"
				110 of 118 people (93%) found this review helpful2 people found this review funny			","
Posted: February 15, 2016
												No. Start setting is what is unfortunately quite common in certain Early Access Games -> a EA Game abandoned/Developer not seen around for a long time and then there was a casual discussion about the game in the otherwise quiet forums and topic was the games content and it's development history.  no flaming no nothing. just pondering over how things could have been and what was completed and talk about how to play the working parts of the game to get the best out of the game. And then suddenly there is a ban. Developer resurrected himself from the dead to just do this ban without a written warning or reason and nothing more. And then he returned to the bottle it seems.  No way to know what the problem was or chance to edit things. Just a permaban. No Ban reason just a reference to rules. Well read the rules but no rules was infringed - how could they have been infringed as the discussion was quite neutral and non-accusatory. No finger pointing or anything just talk about how things could have been and still a ban. And a permanent ban too. For good. For me this is the first time i have ever been banned in ANY forums as hateful speech is something i simply will not do. So i hereby use my right to tell people to stay out. I understand banning flame or hateful speech but this? No. just No. Just keep out. There is nothing to see here. I refuse to even comment on the game itself as it has some pretty solid pro's too but since this is the way things are done around here then just staying out is the way to go. To the garbage bin this game goes. Good riddance. Enjoy the money you got for this dear dev. Enjoy it.			"
