user name,positive or negative,total playing time,number of helpful,content
http://steamcommunity.com/id/kuruzslo/,0,19.8,"
				327 of 383 people (85%) found this review helpful6 people found this review funny			","ber 14, 2016
												I was excited about this game before the release but I have to say I am disappointed.I did not expect too much from the graphics side, but what I got was just horrific. Colours, lightin etc. are just awful and embarrassing.But I know PES is not about graphics and I have to say that gameplaywise we got a few upgrades. Goalkeepers are actually doing their job during the game, passing feels even better.After the first 45 minutes I closed the game and opened PES 2016. Here, I have to add that I have several patches, transfer updates, pitch update installed on PES 2016. The game just felt much better. Even the graphics looked nicer. Colors were brighter and the quality just better. Even the gameplay felt almost the same.So If you are asking me: Does it worth buying it?My answer is a definite NO. Just use PES 2016 with transfer updates and you are safe to go.PES was never for online playing and you can have fun offline with 2016.			"
http://steamcommunity.com/profiles/76561197962741115/,0,437.,"
				128 of 140 people (91%) found this review helpful2 people found this review funny			","ber 17, 2016
												Using an old gen engine when the newer one is available is a big mistake on Konami's part. People who can afford to pre-order the game, would most likely have the money to afford a decent rig on their pc to run the higher end graphics. What was designed for PC gamers, with the lower end graphics, is probably tailored more for people who torrent.I'm neither a suppporter of Fifa nor Pes. But I feel that what Konami has done is simply shooting themselves in the foot and killing what limited PC supporters that they currently have. Having said that, I dont mind slightly inferior graphics. I do mind, however, 1) long loading times between menus, 2) long waiting times for online matchmaking, 3) frequent disconnection, 4) inability to alt tab (without getting disconnected) while waiting for the game to finish loading. For people who wish to buy a PES title, it would probably be better to choose between whichever title is of the lower price, since the improvements over the titles are only marginal at best. Until massive improvements are made to the core game itself, I would probably not recommend users to buy the game at full price.			"
http://steamcommunity.com/id/Mittzu/,0,0.1 ,"
				856 of 1,209 people (71%) found this review helpful213 people found this review funny			","ber 14, 2016
📣📣📣📣📣📣📣📣 OFFICIAL BOYCOTT 📣📣📣📣📣📣📣📣1 - Buy the game2 - Open the game or ""settings.exe"" in PES folder3 - Let it open for 5 minutes, and then close it4 - Make a negative review5 - Ask for refund6 - Profit and also bankrupt KONAMI in the process7 - KAPPA__________________________________________Konami do NOT respect PC users, they have been releasing, on PC, the same old ps3 port for years... enough is enough! There is a reason why it is called ""MASTER RACE"", they think the PC master race is supposed to run ps3 ports, smh...I myself keep on buying PES games because it's the only football game on steam, if only FIFA were on steam... to add insult to injury, Adam Bhatti makes fun of PC users when asked about infos on PC's version.Well, anyway... hey, KONAMI, I really know you like to cut corners when programming your PC games, so the next year I'll be doing the very same review, just a CTRL+C and CTRL+V and that's it, just so you know.PC users don't deserve this kind of treatment. Decent PES or GET OUT of steam!See you in a year ☜═㋡			"
http://steamcommunity.com/id/Bleachinid/,0,27.1,"
				220 of 256 people (86%) found this review helpful9 people found this review funny			","ber 17, 2016
												This game is deceiving, is bad looking, a joke. Konami has no respect for PC users and I made a mistake buying this. I'll never again spend money with konami game. I don't recommend!			"
http://steamcommunity.com/id/FelschR/,0,15.3,"
				101 of 107 people (94%) found this review helpful8 people found this review funny			","er 27, 2016
												It's unacceptable that the PC version has worse graphics than the console versions...			"
http://steamcommunity.com/id/lllPanda/,0,1.2 ,"
				165 of 208 people (79%) found this review helpful4 people found this review funny			","ber 14, 2016
												Daaaang.... not again. Not what I expected. Graphic-wise a huge disappointment. Requested a refund.			"
http://steamcommunity.com/id/corvinho/,0,1.2 ,"
				313 of 422 people (74%) found this review helpful31 people found this review funny			","ber 14, 2016
												NO Real Madrid, NO Manchested United, 2006 graphics. Ty Konami!			"
http://steamcommunity.com/profiles/76561198020216003/,0,48.2,"
				72 of 78 people (92%) found this review helpful			","er 28, 2016
												A shame that PC is treated like Xbox360 and PS3.			"
http://steamcommunity.com/profiles/76561197960463081/,0,0.4 ,"
				133 of 158 people (84%) found this review helpful4 people found this review funny			","ber 15, 2016
												This game is a piece of garbage compared to the PS4 version, lazy scumbag konami could not even put widescreen resolution support in 2017.This is a joke and an affront to pc gamer's everywhere, konami thinks we are going to spend hundreds of dollars on video cards and then accept complete garbage like this while inferior console hardware gets the goods and we still give them our money.not touching it even on PS4 out of spite.screw you konami.			"
http://steamcommunity.com/profiles/76561198266349608/,0,4.2 ,"
				210 of 269 people (78%) found this review helpful11 people found this review funny			","ber 14, 2016
												The AI, passing and tempo is good, but the fact that this is an XBOX 360 port is just horrible. The poor graphics makes the game a 2/10 regardless of it's other qualities. Such a shame. The visual gap between PS4 and this Nintendo 64 style game cannot be closed with some turfs or Sweetfx. Dont let anyone tell you that. If the PC version of MGSV was as bad as this people would riot.You fooled us again Konami.			"
http://steamcommunity.com/id/clockwork1904/,0,193.,"
				71 of 82 people (87%) found this review helpful4 people found this review funny			","er 15, 2016
												Online  = Input lag over 9000000000000000offline = super funGraphics = 2010 game			"
http://steamcommunity.com/profiles/76561198069403037/,0,0.3 ,"
				91 of 113 people (81%) found this review helpful1 person found this review funny			","ber 14, 2016
												Dont buy this ripoff! Same graphics as last year, and xbox one controllers wont work on it even though it says they will. The buttons are all mixed up and unchangeable. Completely unplayable. I am ♥♥♥♥♥♥!			"
http://steamcommunity.com/profiles/76561198115442530/,0,0.6 ,"
				70 of 82 people (85%) found this review helpful1 person found this review funny			","ber 18, 2016
												Just played a match and I am utterly disappointed. The graphics are just horrible. The introductory gameplay at the beginning is deceiving! I have requested for a refund.			"
http://steamcommunity.com/profiles/76561198087787809/,0,219.,"
				84 of 105 people (80%) found this review helpful6 people found this review funny			","ber 19, 2016
												Dem Last Gen Graphics...			"
http://steamcommunity.com/profiles/76561198261218216/,0,382.,"
				58 of 69 people (84%) found this review helpful1 person found this review funny			","ber 15, 2016
												Except from gameplay everything is copycats from PES 2016.  Konami totally lazy to make any improvement.Not Recomended.			"
http://steamcommunity.com/id/Caleb_Durr/,0,0.5 ,"
				116 of 144 people (81%) found this review helpful3 people found this review funny			","ber 14, 2016
												I really love the franchise but I can't let this through again, the graphics are the same since 2015, while it might not be a big issue since the gameplay is actually neat but they have done this about 3 or 4 times in a row, I can't recommend the game because of that, if they see we are still buying it they will keep doing the same, we want a pc version of the game not a port of the ps3 version.Aside from that the gameplay is great, a big improvement of what PES 2016 did, the goalkeepers are far more responsive and the ball feels natural			"
http://steamcommunity.com/id/heldexal/,0,0.7 ,"
				101 of 126 people (80%) found this review helpful2 people found this review funny			","ber 14, 2016
												I played PES EVERY YEAR since ISS 2. With 2014 they promised a ""new engine"" but the gameplay was the worse I've ever seen in PES, that year I stopped playing wishing ""they would improve the graphics and gameplay with time, it's a new engine after all!"". How wrong I was, 3 years later the graphics look WORSE, the ""new"" user interface is slow and trying to copy the crappy one from FIFA (that's not the spirit). The gameplay was OK versus the COM, but my god it's really bad my online experience, it's like playing in 5 FPS.PROS:- Better gameplay than in 2014- MusicCONS:- Bad Graphics (PS2 style)- Bad online experience- Bad interface- No Real Madrid Licence- No new stuff in Master League (they even took the good stuff)			"
http://steamcommunity.com/id/sc0r/,0,42.6,"
				73 of 91 people (80%) found this review helpful2 people found this review funny			","ber 19, 2016
												Bad graphics, they advertise full hd in Pc, is not true.TO be honest to the owners of pes 2016, you wont notice a difference, only that the name of the teams are not there. But this about game improvements, are not true. Laggy, sluggish, not new movements and things, no ""control"", same AI trying to ""magically beat you"" when you are on a win streak, even if you get as opponent with 50 ""team spirit"" and you play way better, The AI will make you lose.   For me just the same as 2016. I'll ask for a refund and just stay with pes 2016 for a while . (I own fifa and pes in ps4) Pes 2017 in pc is just a mockery, a scam for pc users.			"
http://steamcommunity.com/profiles/76561198330048513/,0,2.3 ,"
				82 of 100 people (82%) found this review helpful2 people found this review funny			","ber 14, 2016
												Welll what can I say? I expected at least a half-♥♥♥♥♥ effort for graphics (I've read that this is a xbox 360 port!!??)Career mode is improved slightly.Graphics are awful for a '17 game.Feels a bit awkward with a controller.Pre-ordering was a mistake, don't get me wrong the pre-order bonus was OP as fk, i rolled Messi for myclub on the first go, but alas that ruined any measure of difficulty I might've had playing online.Konami, wh you do dis?			"
http://steamcommunity.com/id/gypogamer/,0,73.1,"
				55 of 61 people (90%) found this review helpful3 people found this review funny			","er 29, 2016
												Buying this game, I knew it would be wack...I bought it because (based on experience) gameplay on PES is superior to FIFA. A much truer representation of the real game. Tempo, Ball Weight, Player positioning, Choices, Adaptation to players on the team, even animations and the choice of animations in a particular scenario is fantastic, gives you a satisfying feeling. You feel as though you can watch a game over the weekend and recreate it later in PES. FIFA on the other hand, (I've played every FIFA since 99 where you had to button mash the triangle button to run faster lol, used to be a fan also) since probably 09 where online multiplayer became an integral part of the game. It has stalled in terms of progress. So called better graphics were prioritised over game mechanics, and focus was solely placed on the multiplayer experience. The really bad AI of the game was hidden behind the fact that you played other humans and loads of licenses, so you only saw the lack of authenticity in gameplay in glimpses.  It became an Arcade game.Now, PES on consoles is going places. Much better graphics, players feel realistic in terms of proportions and movement, shading. You can play by yourself and enjoy the game, online is not needed, it's a welcome addition, etc... My question is.... Why the f@%k are PC gamers getting taken the ♥♥♥♥ out of?!Why are we playing a last gen game import for two years in a row now? It's ridiculous. If you are scared of people cracking your games then you are loosing a foot in where the industry is heading. More and more people buy products after they have tested them out and been satisfied with the product quality. (product does what it says on the box). Most gaming companies are all following the road of coning customers up until the release date after which they just go quiet and let people buy a half hearted game.No improvement what so ever from the last game. If it wasn't for the fact that. 1. I got it on discount. 2. The modder community is amazing. 3. I am hoping something goes through to Konami where they see that people on PC will buy their game if they don't alienate us from the REAL game.Lastly, don't ever charge 40 quid for what could essentially pass as an Indie game. Have some respect... "
http://steamcommunity.com/profiles/76561198149226190/,0,21.6,"
				61 of 74 people (82%) found this review helpful2 people found this review funny			","ber 19, 2016
												Konami failed. this game looks horrible. Would not recommend. Buy it on console if possile.			"
http://steamcommunity.com/id/cst1992/,0,0.9 ,"
				57 of 70 people (81%) found this review helpful7 people found this review funny			","ber 21, 2016
												3rd year in a row pc players get this crappy port			"
http://steamcommunity.com/id/7732677656353/,0,440.,"
				45 of 51 people (88%) found this review helpful4 people found this review funny			","er 24, 2016
												Have played pro-evo for many years.Like a crooked pachinko machine this game decides the outcome of matches before they are played - EVEN ONLINE.I wanted to like it but unfortunately due to the horrible momentum mechanics cannot.Players will be slowed down by engine to stop you getting ball.Opposition will run through your playersMagical rebounds will always go to opposition from stupid angles at certain periods of the game (when the coded ' luck' is against you).At these same periods you will hit crossbar, post and miss goal even from inside the 6 yard box.Game plays like its on rails. Your players will get magically pushed behind the opposition, even when you were on course to intercept.Game will also automatically switch player selection or just disable it to stop you receiving ball.First few games you will not notice it and I think its dialled back (probably so you give it a great review before it dumps its steaming load all over your face).I feel sorry for those who think by spending real money and getting better players improved this. It does not.This could have been great, but I think their greed pretty much put the nail in the coffin on this one.I keep coming back and playing to see if any of the terrible momentum and scripting is patched out, but never is.Wont spend any money on this game and would advise anyone to hang off from the next version (2018) until the momentum / scripting has been dialled back sufficiently.EDIT BTW dont think the demo is a fair example of the game. It is not, as it plays better due to the horrible momentum being turned off. This has been confirmed by Konami.			"
http://steamcommunity.com/profiles/76561198189486726/,0,236.,"
				103 of 146 people (71%) found this review helpful9 people found this review funny			","ber 14, 2016
												♥♥♥♥ing hell it's awful. looks like a piece of ♥♥♥♥. PS looks better and plays better.			"
http://steamcommunity.com/id/hkjackylai/,0,6.6 ,"
				52 of 68 people (76%) found this review helpful4 people found this review funny			","ber 18, 2016
												Don't waste your money on this trash			"
http://steamcommunity.com/profiles/76561198130268469/,0,1.9 ,"
				44 of 50 people (88%) found this review helpful2 people found this review funny			","ber 15, 2016
												The PC port is a release with worse graphics than the PS4 version. I bought the game specifically because the newly upgraded replay graphics looked amazing, but I have asked for a refund. The gameplay is similar (and very good) to 2016.But honestly, I think I'm going to buy FIFA 2017 because they have much better online play, graphics, and gameplay has improved a lot this year, including low driven shots, using body, etc.			"
http://steamcommunity.com/profiles/76561198034357042/,0,0.2 ,"
				60 of 78 people (77%) found this review helpful1 person found this review funny			","ber 17, 2016
												Hello,Please don't wast your money with pes 2017 because the KONAMI concentrate on PlayStation 4 and Xbox one and don't respect PC user, the gameplay and graphics as PlayStation 2 , I bought the game and after 12 mins. Play game I refund my money.I thank within 2 years will not see pes series anymore , please try Fifa 17 that is really football .Best regards			"
http://steamcommunity.com/id/raycoco/,0,3.4 ,"
				92 of 131 people (70%) found this review helpful28 people found this review funny			","ber 16, 2016
												📣📣📣📣📣📣📣📣 OFFICIAL BOYCOTT 📣📣📣📣📣📣📣📣1 - Buy the game2 - Open the game or ""settings.exe"" in PES folder3 - Let it open for 5 minutes, and then close it4 - Make a negative review5 - Ask for refund6 - Profit and also bankrupt KONAMI in the process7 - KAPPA__________________________________________Konami do NOT respect PC users, they have been releasing, on PC, the same old ps3 port for years... enough is enough! There is a reason why it is called ""MASTER RACE"", they think the PC master race is supposed to run ps3 ports, smh...I myself keep on buying PES games because it's the only football game on steam, if only FIFA were on steam... to add insult to injury, Adam Bhatti makes fun of PC users when asked about infos on PC's version.Well, anyway... hey, KONAMI, I really know you like to cut corners when programming your PC games, so the next year I'll be doing the very same review, just a CTRL+C and CTRL+V and that's it, just so you know.PC users don't deserve this kind of treatment. Decent PES or GET OUT of steam!See you in a year ☜═㋡			"
http://steamcommunity.com/id/irfannooroyeah15/,0,119.,"
				48 of 61 people (79%) found this review helpful2 people found this review funny			","ber 20, 2016
												I was a fan of PES until the 2016 edition. 2016 edition is really a promising even though there are still some problems occur. I had a high hope that Konami will fix some major problems from the 2016 edition just like license, online feature, or etc. I really excited about every news about the newest edition.But now I really dissapointed with the new one. I admit that the gameplay in 2017 is really fantastic especially for the goalkeeper and AI adaptive system, but  same comment for many people, it seems they don't really care for us PC users. The graphic (for PC) almost doesn't even has any different with PS2 console. And as usual, the license is really awful, Manchester United and City, Chelsea, Real Madrid, Valencia, and also Juventus don't have their kits and use fake names?! Bayern Munchen doesn't even appeared in the game and again.....license problem. Commentaries also still monoton. You'll find Jim Beglin and Peter Drury say the same words within 90 minutes everytime you play. And overall, this edition is dissapointing.			"
http://steamcommunity.com/profiles/76561198076197351/,0,459.,"
				31 of 34 people (91%) found this review helpful2 people found this review funny			","er 17, 2016
												Don't pay Konami to give you a headache, First design wise, this is an embarrassment for user interfaces in 2016, all menus are blue on blue sometimes you miss your selection cause its in the same colors as the background. There are way to many menus and they are inconsistent with each other, it feels like a huge mess I'm playing this for a month now and I still haven't figured out all the redundant options and menus they've stuck in there. Game play is not at the AI level I've expected, PES 2016 feels smoother and much more fun to play for me, If you dont play with messi or ronaldo don't expect your player to do one touch passes or shots,It takes ages until a player like Nani (level 86 at my club) will recieve a pass and hold that ball as a normal player should. Now for the biggest problem of the the game of course ""MyClub"", I don't know who is using the player that you get from white balls, and bronze balls you'll find yourself spending 300k+ very hardly earned Game Points going to waste until you'll get a dissent player, in a month of playing the only black ball player I have is Kroos, and bealive me that's not enough when you're going against players that buy coins or harvest GP all day. When you lose a match you get a sad 1200 GP and then you have to pay every time for contract renewales 2500+ GP, so if you get to lose few games in a row prepare to get extremely frustrated, cause you won't be abale to play with your best players on top of the fact you lost a few games. Internet servers are now better than they were when the game was just released and a lot of bugs that cheaters used are now fixed but it took way to much time and caused a lot of frustration because too many cheaters used this. And something last, how the hell a company that's releasing this game for so many years dares to say ""The PC version won't be at the level as PS4/XBOX"" on the same day they release it?? this is outrageous, this is a spit on the face of the customers, this is unacceptable. DONT BUY THIS GAME!! THEY DONT DESERVE YOUR MONEY!!!			"
http://steamcommunity.com/profiles/76561197992650702/,0,0.4 ,"
				33 of 38 people (87%) found this review helpful1 person found this review funny			","ber 16, 2016
												do not buy, poor gameno support for 21x9 aspect ratioi wish i could refund			"
http://steamcommunity.com/id/skiourakos/,0,17.1,"
				29 of 32 people (91%) found this review helpful1 person found this review funny			","er 23, 2016
												The gameplay is far away from the PS4's gameplay, Poor graphics and if you use the keyboard you will notice that sometimes the buttons stucks.			"
http://steamcommunity.com/profiles/76561198154925394/,0,1.5 ,"
				39 of 49 people (80%) found this review helpful5 people found this review funny			","ber 24, 2016
												PES 2017. Really a mess on PC.			"
http://steamcommunity.com/profiles/76561198250822184/,0,0.6 ,"
				20 of 21 people (95%) found this review helpful1 person found this review funny			","er 15, 2016
												Really couldn't point out any differences from the previous version ( other than updated squad and formation list). So, requested a refund within 30 mins. This game isn't worth $54 at all.			"
http://steamcommunity.com/profiles/76561198156279159/,0,17.6,"
				24 of 28 people (86%) found this review helpful1 person found this review funny			","ber 15, 2016
												I played the PS4 version it looked totally deferent than PC version.If you have PS4 buy it's version, otherwise don't buy PC Version.			"
http://steamcommunity.com/profiles/76561198170852793/,0,20.2,"
				44 of 56 people (79%) found this review helpful1 person found this review funny			","ber 18, 2016
												It is really a shame. Konami doesn't care about the huge pc gamers community. Not only the game is a hybrid but it doesn't contain licences of many huge clubs like Bayern and Real Madrid. Imagine a real champions league without such clubs! I've been playing Pes since the first version of 1995. Now I am really disappointed.I will try Fifa for the first time.Addionnaly, Konami doesn't care about cheaters and laggers that ruin the online game, nor the poor servers that make the game impossible to play!			"
http://steamcommunity.com/id/mkinGtheGreat/,0,46.6,"
				52 of 71 people (73%) found this review helpful6 people found this review funny			","r 29, 2016
												Shame on you KONAMI !!!I have always been playing with PES until now and I hoped that something great will be in 17, but the only improvement from last version is the gameplay (Ball physics only!).Seriously KONAMI, do you find yourself forced to release pc version of PES? Please stop making these ♥♥♥♥ ports or never make a PC version again. I will never buy KONAMI games on PC again...0/10			"
http://steamcommunity.com/profiles/76561198101459216/,0,2.0 ,"
				52 of 71 people (73%) found this review helpful16 people found this review funny			","ber 17, 2016
												Let's starts from 60 points out of 100 points.The graphic is kidding me. (Welcome to PES2015 v3.0): -30Status/Attributes color is kidding me(why the F you changed that?) :  -10Loading, loading, loading! Sometimes, there are TWO loading icons for double happyness. -10Now they don't have my team ManUtd. -10Game play feels slightly improved : +10My final points: 10.			"
http://steamcommunity.com/id/RezaPito/,0,80.0,"
				68 of 100 people (68%) found this review helpful7 people found this review funny			","ber 28, 2016
												I hope you read this Review before buying this gameDont Buy This Game , Never , Ever .Download Cracked Version And Enjoyed Offline Game. In Online Match You Cant Win because ♥♥♥♥ing cheaters and hackers canceled Match before ending if his not win ! .-No Anti-Cheat-NO Support-No Report Option For Cheaters-So Many Cheater(Believe me)-Very LagyI deeply regret for buy this game . GOD DAMN YOU KONAMI. "
http://steamcommunity.com/profiles/76561198201855078/,0,27.2,"
				29 of 36 people (81%) found this review helpful4 people found this review funny			","er 27, 2016
												Bow your heads in shame konami... This game is literally the worst atrocity ever to haunt the human race. Please do not buy this game. It boasts of so many incredible features, including new and improved AI. It's all a scam, just a repetition of past mistakes. The master league is a right mess, there is no freedom for transfers and their attempt at trying to replicate the life of a manager is beyond pitiful. PES MyClub is just a horrid ripoff of FIFA's UT. The soundtrack is literally the ony thing slightly humane about this game. Be Warned this game is punishment			"
http://steamcommunity.com/id/PlaceboPRS/,0,11.7,"
				24 of 29 people (83%) found this review helpful4 people found this review funny			","ber 17, 2016
												It's easy to say ""ignoring the graphics is it worth it"" but unless you have cataracts the size of Kansas you simply cannot ignore how monumentally ♥♥♥♥ing ugly the game is, it's not just the graphics themselves, the animations are still extremely poor IMO, they look like something I'd expect when I download a mod off the modding nexus that 3 guys did after school for fun. Menus are horrific, ugly, poorly laid out, extremely slow to navigate, Master League (only league I have interest in coming from MM/CM of Fifa) is still flat, uninspiring, poorly programmed and completely devoid of any kind of connected feeling compared to Fifa with the proper league structure and transfer system and such. Don't get me wrong Fifa is filled with flaws and annoyances which will be compounded by the lack of mod support in Fifa 17 (I detest FOW in CM!) but it still offers a far more cohesive, engaging football club manager experience, on and off the pitch.Just had my first experience of PES' idea of transfer deadline day, oh dear, apparently you can only negotiate one player at a time, if I have two deals agreed you cannot say yes to both, you say yes to one, time moves on two hours, then you can say yes to the other, seriously? I thought how Fifa handled transfer deadline day was bad but it's mindblowingly well designed compared to how PES handles it (TBH the way PES handles the whole transfer process is poor).So in brief, is PES 2017 for PC worth it? Yes, if your sole purpose is to play it until the 27th so you can be happy in the knowledge that Fifa hands-down beats it in every single area of game design, visuals, sound quality, animation, gameplay, UI, modes, licenses, etc. etc.			"
http://steamcommunity.com/profiles/76561198142215531/,0,164.,"
				36 of 51 people (71%) found this review helpful14 people found this review funny			","ber 22, 2016
												If you like online lagging and cheaters, you should definitely buy this game.			"
http://steamcommunity.com/id/yzwayne/,0,19.7,"
				18 of 20 people (90%) found this review helpful			","ber 15, 2016
												Last year I bought PES 16 instead of FIFA but regretted . This year i bought PES 17 as it released earlier than FIFA and I regretted again. FIFA will be my choice for the next couple of years.			"
http://steamcommunity.com/id/wanapoom/,0,0.3 ,"
				49 of 75 people (65%) found this review helpful8 people found this review funny			","er 3, 2016
												If you think this sh*t is better than FIFA 17 then you're delusional.			"
http://steamcommunity.com/id/HLEX-/,0,78.8,"
				17 of 19 people (89%) found this review helpful2 people found this review funny			","er 24, 2016
												Too many bugs,bad rosters,online is rubbish,game pad incompatibility,sound crushes,game pad disconnects...			"
http://steamcommunity.com/id/aan94/,0,36.6,"
				28 of 36 people (78%) found this review helpful1 person found this review funny			","ber 16, 2016
												This feels like PES 2016, I played PES 2016 and looks, feels, and sound 80% similar. The movement has been upgraded, the AI is better, it got a new looks, same commentator, no Manchester United :(. This all should be on PES 2016 instead, not a PES 2017. Not worth for the money, going back to PES 2016 and upgrade it			"
http://steamcommunity.com/profiles/76561198003174500/,0,370.,"
				19 of 21 people (90%) found this review helpful			","er 21, 2016
												I am disgusted... I love that game so much since PS1. PES 2016 was the rebirth but on this one again: online is ♥♥♥♥ing shxxxt... Lag lag lag, whatever the connection (home or office), whatever the PC & config. You never know if servers are lagging or if you're playing against lag switchers. You simply can't play your normal play. Full of cheaters: Mali running, jumping, dribbling better than Chelesa... Most of players simply take Real and just pass through the Bale or Ronaldo rabbids... In short an incredible gameplay potential but Konami is not taking PC seriously with bad online infrastructure, laggy connections, loooooooong match-making & no anti-cheat. All that can disgust any fair player to invest deeper in that game.			"
http://steamcommunity.com/id/SWAN_Swizzle/,0,804.,"
				15 of 15 people (100%) found this review helpful2 people found this review funny			","ber 14, 2016
												I've ben a PES fan for years, but this is just getting ridiculous. The game play is definitely better than 2016, but the graphics are the same. I played the PS4 demo and was impressed by the graphics quality so I decided to buy the PC version hoping the graphics would be improved as well, but as usual Konami has screwed PC users over.*Update* I've been playing for a few months now and while the graphics still suck, I've kinda gotten used to it. I still vastly prefer the PS4 visuals to it, but since I game mostly on my PC I've grown accustomed to it. Outside of the crappy grapics and random glitches here and there, the game is prety enjoyable. The gameplay is very similar to the PS4 version, but not quite as polished and flowing. I still wouldn't recommed buying the PC version of the game, but Master League is so enjoyable that it just might make up for the game's other failures.			"
http://steamcommunity.com/profiles/76561198004438429/,0,10.8,"
				30 of 41 people (73%) found this review helpful1 person found this review funny			","ber 20, 2016
												Exact same game as 2016. Graphics are the same. Doesn't even have an option for 1440p or 4k. Seriously a waste of money. I was hoping Konami would beat Fifa this year, but it seems like it got worse. Licensing issue is also really annoying. It detracts from the ""realistic"" feeling of the game. I don't want to play with MD White, I want to play with Real Madrid.			"
http://steamcommunity.com/id/ZaneBlight/,0,113.,"
				15 of 15 people (100%) found this review helpful			","y 6
												Everything looked beautiful and I didn't care about the licences and stuff but I am now unable to get to the next season in Become a Legend because the game encounters an error and stops working.GAME. BREAKING. BUG.It's not 1998. We don't have those kinds of errors now in 2017.Emailed PES 2017 support about this. If they get back to me with stupid things I am gonna ask for a refund and throw out 100+ hrs from my life.			"
http://steamcommunity.com/id/tony2073/,0,0.6 ,"
				18 of 22 people (82%) found this review helpful2 people found this review funny			","er 28, 2016
												This game has terrible and outdate graphics. I do not believe a 2016 game can be bad like this. I prefer a refund to my Steam. It is such a scam for PC games.			"
http://steamcommunity.com/profiles/76561198082302852/,0,207.,"
				16 of 19 people (84%) found this review helpful2 people found this review funny			","er 7, 2016
												Konami did nothing to prevent people from quitting, I can't recommend the online mode at all!			"
http://steamcommunity.com/profiles/76561198045530734/,0,278.,"
				18 of 21 people (86%) found this review helpful			","er 29, 2016
												Ok offline, pathetic online. NOT helped delays, disconnections and players who just spam crosses and headers, theres absolutely nothing you can do about those. Santi cazorla can actually beat David Luiz over a cross, consistently. - control reality my ♥♥♥. No improvements on the graphic department, not the ps4 port everyone was hoping for. Overall 5/10, a let down.			"
http://steamcommunity.com/profiles/76561198038667535/,1,65.6,"
				41 of 62 people (66%) found this review helpful4 people found this review funny			","r 2, 2016
												I completely understand all of the negative reviews for the PC version of this, and the game as is for the full price of 39.99 pounds would be a thumbs down.However, with SweetFX mod installed, the game looks as good as the console versions, and the patch to fix the licences, names and kits etc takes less than a few minutes to install.On the pitch, PES 2017 is by far and away the superior game compared to Fifa 17 (I own both).Also helps that I got almost 50% off the retail price for the steam key. You know where to go for that :)			"
http://steamcommunity.com/profiles/76561197966536416/,0,52.5,"
				19 of 23 people (83%) found this review helpful1 person found this review funny			","y 13
												The gameplay is awesome at first. After winning a few games in a row the scripting kicks in and makes the game unplayable. The game just won't let you win. Last game I played (offline season) I had 17 shots, 10 on target. Shots from distance, headers from 5 yards out, curlers, knuckleshots... Their goalie just took everything or I hit the bar. Then the opponent had one shot from like 35 yards out and my goalkeeper pushed the ball right in the feet of Agüero. Game ended 0-1 and it was the game that made Everton win the league. I would've won if I had even taken a point from that game.And oh yeah, Yaya Toure running faster than Aubameyang on break and slidetackling the ball away from behind in the box is legit as hell. :DStill waiting for a good football game for playing offline seasons. This game is almost as carbage as Fifa but it doesn't even have the leagues I'd like to play. Uninstalling now and never playing it again.			"
