user name,positive or negative,total playing time,number of helpful,content
http://steamcommunity.com/id/Miyamoto-Musashi/,1,7.1 ,"
				15 of 19 people (79%) found this review helpful			","29
												Very good and fun fishing game!Go fishing and relax!


YouTube™ Video: The Fishing Club 3D (Free to Play) - Gameplay - PC HD [1080p] 

			Views: 194		

			*Free to Play*: http://store.steampowered.com/app/522230/ Game: The Fishing Club 3D Platform: Steam Genre: Casual, Free to Play, Sports Developer/Publisher: Robot Riot UG (haftungsbeschränkt) Release...		

 "
http://steamcommunity.com/id/peniwini/,1,3.7 ,"
				3 of 5 people (60%) found this review helpful			","25
												it is exellent and you lvl up quick so its a game you can play for 1hr+			"
http://steamcommunity.com/id/Kodyd194/,1,2.4 ,"
				4 of 7 people (57%) found this review helpful			","29
												The Fishing Club 3D, free, simple and in my opinion one of the best, relaxing fishing games on Steam. I definitely recommend it if you are not looking for a serious, but just good time killing fishing game.			"
http://steamcommunity.com/profiles/76561198131483834/,1,0.8 ,"
				4 of 8 people (50%) found this review helpful1 person found this review funny			","23
												The game is ok so far. for some on reason the items for the shop wont come up.			"
http://steamcommunity.com/profiles/76561198161909551/,1,35.4,"
				3 of 6 people (50%) found this review helpful			","24
												this game is so great! so much more than just your average fishing game. there's a couple small bugs (for now) but none that deter me from playing. good bye to all other fishing games, i'm sticking with this one!			"
http://steamcommunity.com/profiles/76561198109443228/,1,0.1 ,"
				5 of 10 people (50%) found this review helpful			","25
												This game is the best game I have ever played, Hours of experience fishing myself and on the computer fishing. I am A fishing genre gamer entrepreneur that gets off to these games :)			"
http://steamcommunity.com/profiles/76561198324040212/,1,10.0,"
				2 of 5 people (40%) found this review helpful			","24
												i like this game, good graphic and easy to understand gameplay			"
http://steamcommunity.com/id/gamingauthoritah/,1,0.8 ,"
				9 of 11 people (82%) found this review helpful1 person found this review funny			","23
												+ Colorful game+ Excellent soundscape+ Good tutorial throughout+/- Slow paced game, but, hey, that's fishing!- Game pauses while trying to load assets...for a very long time.  The back end server needs more attention.Make up your own mind with this gameplay: 


YouTube™ Video: The Fishing Club 3D - SOMETHING FISHY ABOUT THIS GAME? / Gameplay / Steam / Gaming Authoritah 

			Views: 365		

			The Fishing Club 3D, a reality fishing game. Gameplay by Gaming Authoritah. The Fishing Club 3D on Steam: http://store.steampowered.com/app/522230/		

 "
http://steamcommunity.com/id/melwing/,0,2.2 ,"
				3 of 6 people (50%) found this review helpful			","31
												Fun for a little while, but this is an extremely hollow experience. Everything is too simple, due to the mobile origins of the game. I'd recommend checking this out on your phone if you're a mobile gamer, but I just don't see the appeal beyond a couple hours as a PC title.			"
http://steamcommunity.com/id/peppage/,1,0.9 ,"
				3 of 7 people (43%) found this review helpful			","25
												Good? In some ways yes, in other ways no. It's a mobile game through & through. Very repetitive casting and reeling in fish with no nuance. YES I've gone fishing before and I realize that's fishing but in other games there is some technique added. Personally I can't get into because it's looks so bad :(They fixed the resolution, it is a lot more playable for me. It seems like a pretty fair business model and there are a lot of quests. Who am I to tell you how to spend your time?Ah here's a video,


YouTube™ Video: The Fishing Club 3D 

			Views: 23		

			Free game, free video		

 "
