user name,user level,positive or negative,total playing time,number of helpful,content,Action,Adventure,Racing,RPG,Simulation,Sports,Strategy
http://steamcommunity.com/id/Fawnak/,63,1,67.6 hrs on record,"
				373 of 474 people (79%) found this review helpful			","
Posted: November 16, 2013
												+ Simple and fun gameplay which is easy to pick up and learn, but hard to master. This is the kind of gameplay that only TrackMania can deliver.+ Very skill-based and competitive. No gimmicks or anything, it's all about shaving off milliseconds with precise and skillful driving.+ Tolerable community. Most of the time they show sportsmanship and are very fair.+ Lots of community created content. Also includes the Steam Workshop.+ User friendly track, car and replay editors to create said content.+ Great car physics.- Ubisoft decided it'd be a good idea to split the TM² environments into seperate games, which means that the already small player base is also split. The result? Less players, less servers. You won't have a problem though until you hit 60k ladderpoints - that's when you have to play on different servers to gain more. And those servers are rather dead.- Said car physics tend to mess up sometimes, but that's usually the map builder's fault.- 5min cooldown on official races is a bit too long. In fact, why do they even make you wait? You could simply pay with Coppers (the currency) in previous games to try again, however, this doesn't work here. So this makes it really tedious to get good times on official races.- The price tag. TMNF was free, while this is $10, even though it's pretty much the same game.TrackMania² Stadium is an updated version of TMNF, ported to the updated engine with ManiaPlanet. It's great, but I wouldn't recommend picking it up at its full price.8/10 ",582,79,29,50,49,3,30
http://steamcommunity.com/id/RLGrandma/,5,1,644.6 hrs on record,"
				45 of 48 people (94%) found this review helpful1 person found this review funny			","
Posted: July 13, 2014
												This game is pretty ridiculous. It's like the company asked a bunch of 4th graders to come up with ideas for a racing game, and this is the result. Wall rides, loops, huge jumps, crazy speed. It's awesome.That being said, the skill cap is infinitely high. Yes, it's massively fun to go on a server and smash through a bunch of new tracks, crashing all over the place and hitting walls like they owe you money. And it's worth mentioning that since the multiplayer is almost exclusively user-created levels, there are tens of thousands of maps to play. But once you settle in to a server and have learned the maps, then it becomes a wonderfully technical game about shaving off bits of time where you can.A notable game mechanic, for those unaware, is that in time attack mode (probably the most popular game type, that and Rounds) you can reset to the beginning of the track (or the last checkpoint) at any time. This is a bit of departure from many other racing games. You'll just have a set amount of time (usually 5 to 7 minutes), to get a single best run possible. This makes it so that you never have to waste time finishing a run when you've already messed up, you can just reset and start fresh immediately. Makes for a much more efficient practice regimen, and resulting rate of improvement.There are three environments within TrackMania 2 (Stadium, Valley, Canyon), but within each environment is an abundance of variety in itself. Since this review is Stadium, I'll focus on that briefly:-Track materials: Pavement, Dirt, Grass, Water-Game Modes: Time Attack, Rounds. Probably others, but rarely used. RPG, I suppose.-Track Types: FullSpeed (because braking is for losers), Tech (because fullspeed is for neanderthals), Dirt (because you are full of self-loathing), Speedtech (Because you're a well-balanced individual with many friends and a winning smile).Seriously, the infinite permutations of tracks alone makes this game worth it.The End			",0,0,0,0,0,0,0
http://steamcommunity.com/profiles/76561198025996773/,18,1,"6,352.6 hrs on record","
				226 of 295 people (77%) found this review helpful460 people found this review funny			","
Posted: December 24, 2014
												It's alright.			",10,1,4,0,0,0,0
http://steamcommunity.com/id/aliteralbrick/,25,1,44.0 hrs on record,"
				64 of 68 people (94%) found this review helpful			","
Posted: July 2, 2014
												Addictive. Surprisingly addictive. I bought this expecting 5 hours max of gameplay. I would drive around in my car a little bit, crash into some wall, then go. Honestly, looking at the name and trailers, I wasn't really expecting a great game. I was so wrong. This game is great. The tracks, the concept, the art, even the music. Everything about this game was done right.  The levels aren't repetative so you won't get lulled into a bored repetitive leveling. No, each level has its own new quirck and obviously a new track. If you are going to buy this, be prepared to start honing your keyboard driving skills because this fast-paced game will require skill. But skill that you won't mind training for because it is such a fun game.			",110,14,4,11,27,2,8
http://steamcommunity.com/id/fab2cent/,21,1,50.7 hrs on record,"
				63 of 77 people (82%) found this review helpful			","
Posted: December 22, 2013
												I started playing the Trackmania series back in 2009, By the time i got my 1st gold medal, i knew it was one of my all-time favourite games. Instead of choosing a set car or track, Nadeo lets the players create their own experiences, with multiple creation tools such as creating a track or painting a car. Trackmania is a very competitive game, most racing will be decided by 1 or 2 milliseconds. Trackmania is not about who has the best car, its about who is the best racer. I highly recommend this game, it is one of the best racing games i have ever played.			",164,8,25,9,9,1,31
http://steamcommunity.com/id/sih/,40,1,303.3 hrs on record,"
				45 of 49 people (92%) found this review helpful5 people found this review funny			","
Posted: January 25, 2015
												My most favorite and most played game of all time spending over 2000 hrs on Trackmania Nations, some more thousand on Trackmania United and also on the Forever expansion for both of those games. I have a long history with this game and it will always be in m heart. The developers are cool guys and ive had the honor to meet them on several occations, including their 10 year anniversary at the Ubisoft HQ where we, the invited, played against the developers where we crushed them.I can't say more about the game itself because I straight up ♥♥♥♥ing love it. Especially the tools. ..and also the gameplay. Trackmania 2 Stadium doesn't do much new other than upgrading the engine, adding a few new block types and upgrading the mediatracker. The single player by Papychampy is probably the best campaing they have made. The gameplay is still the same, (which is good though) but has a constant flow of new maps every day to keep it entertaining. This is the reason why I can still jump into the game and play some maps, 9 years later. Though since the original (and expansion) was free, I have no problem paying for this game. Sadly the game isnt what it used to be, because a lot of the core community players have fallen off the rails. This game was fun because of the community. People made a lot and was very creative. You could join clans just to have fun, which made me play it for at least 6 hrs a day back in 2006. My one reccomendation doesnt justify how much this game is to me. ",124,13,6,10,16,0,8
http://steamcommunity.com/id/murderbits/,104,0,0.9 hrs on record,"
				68 of 97 people (70%) found this review helpful1 person found this review funny			","
Posted: January 2, 2014
												The original TrackMania games were damned amazing and had a great following with tons of servers full of thousands of players at any given time of day. For the last ten months, the new TrackMania games have been dead. I paid full price for all three titles, expecting to have an even better time with the new games, because why not?Well, as the days turned to weeks, I realized the folly of my wasted money as almost all of the servers remained dead across the planet and it continued to be impossible to find a choice of heavily populated servers. Whether it was the dumb choice to milk the players of their cash by splitting the game up into three separate releases (one for each environment) and requiring separate servers for each or if it was the decision to charge money for the new games, at all, the result remains the same -- nobody plays these.If you reference SteamCharts[steamcharts.com] for Stadium, you'll find that the average number of players at any given time through all of 2013 was between 90 and 190. Across the entire planet - and most usually seem to be overseas (Germany, France, Russia, Spain, the UK), so if you're looking for a populated low-ping server in your region and you're in North America, you're going to have a bad time.It's a very unfortunate situation. The game looks better than ever and it has a lot of enjoyment to offer if you like this style of game. It's a fantastic time waster when you need a break here and there. However, you ultimately need a player-base for a multi-player game to be enjoyed. Their business and release model for this series of games completely failed in this way, this time around.Here's to hoping they give the franchise another shot in a couple more years and they correct their mistakes.			",1460,602,62,239,213,17,275
http://steamcommunity.com/id/S41B0T/,9,1,10.7 hrs on record,"
				34 of 36 people (94%) found this review helpful			","
Posted: January 12
 Easy to learn, hard to master Simple racing Game in different modes. ""Story"" mode is kinda a challenge between ""Get this Time to reach Gold rank""But yea. Online Mode is hella fun. You always wanna be the best, one single mistake costs Time!Prepare yourself to respawn a lot! :D			",657,193,24,70,31,10,51
http://steamcommunity.com/profiles/76561198119421646/,32,1,"1,331.3 hrs on record","
				42 of 53 people (79%) found this review helpful28 people found this review funny			","
Posted: December 6, 2015
												have been playing tm2 almost everyday for hours for about a year now. still suck at the game.10/10 would cry myself to sleep again.(one of the best and the most fun i had with a racing game in ages, if you enjoy racing games i would highly recommend this game.) ",90,8,5,7,5,0,3
http://steamcommunity.com/id/Cloudswell/,13,1,81.0 hrs on record,"
				28 of 31 people (90%) found this review helpful4 people found this review funny			","
Posted: July 11, 2015
												This game is  amazing .-The graphics are beautiful-The handling is demanding-A lot of muliplayer gamemodes (f.e. Pursuit, Doppler, Team Matchmaking, Fullspeed, tech, fun/lol/mini)-Huge Editor to build awesome tracks-Solo campaign-Workshop (tracks and car models)-Free title packs with much additional content (RPG/ F1/...)-Competitions supported by the ESLand more than 1.000.000 players :)			",6,1,19,1,0,1,0
