user name,user level,positive or negative,total playing time,number of helpful,content,Action,Adventure,Racing,RPG,Simulation,Sports,Strategy
http://steamcommunity.com/id/And-Band/,16,0,0.1 hrs on record,"
				37 of 49 people (76%) found this review helpful4 people found this review funny			","
Posted: November 30, 2016
												its not funand it takes multiple shots to tag someone out			",110,9,5,4,9,0,3
http://steamcommunity.com/profiles/76561198178859179/,3,0,0.1 hrs on record,"
				26 of 32 people (81%) found this review helpful2 people found this review funny			","
Posted: December 6, 2016
												This game is trash and is not even fun I am gald to refund.			",6,3,0,1,3,0,0
http://steamcommunity.com/profiles/76561198329773418/,3,0,0.1 hrs on record,"
				27 of 34 people (79%) found this review helpful1 person found this review funny			","
Posted: December 6, 2016
												Bad game			",16,2,1,0,1,0,1
http://steamcommunity.com/id/ottomatically/,16,0,0.2 hrs on record,"
				3 of 7 people (43%) found this review helpful1 person found this review funny			","
Posted: December 22, 2016
												This game is absolutely atrocious, and if you're looking for a paintball game like Greg Hastings this is not it. Also all these positive reviews are payed for and completely false. Save your $5 and your steam refund.			",14,2,0,1,4,2,1
http://steamcommunity.com/profiles/76561198320362877/,1,0,0.5 hrs on record,"
				0 of 1 people (0%) found this review helpful1 person found this review funny			","
Posted: April 8
												this game is the most laggiest peice of junk even on a fast running computer			",9,0,0,0,2,0,0
http://steamcommunity.com/profiles/76561198274228721/,4,0,0.2 hrs on record,"
				0 of 1 people (0%) found this review helpful			","
Posted: February 27
												This game is horrible. Not worth the 5 dollars			",61,11,0,4,24,1,3
http://steamcommunity.com/id/luckensscott/,6,1,0.3 hrs on record,"
				0 of 1 people (0%) found this review helpful			","
Posted: March 6
												REALLY FUN TO PLAY, 10/10 would play again, definently buy this			",21,4,0,0,16,0,4
http://steamcommunity.com/id/Sniiperr/,30,0,0.2 hrs on record,"
				1 of 4 people (25%) found this review helpful2 people found this review funny			","
Posted: December 29, 2016
												Horrible, nothing else. It makes nosense to anything that actually happens in paintball.			",42,2,2,1,14,1,3
http://steamcommunity.com/profiles/76561198236858276/,3,0,0.1 hrs on record,"
				0 of 2 people (0%) found this review helpful			","
Posted: March 3
												the game is not fun			",22,0,0,1,3,0,0
http://steamcommunity.com/id/SgtBananajuice/,15,1,2.7 hrs on record,"
				2 of 10 people (20%) found this review helpful2 people found this review funny			","
Posted: January 19
												I don't know a game more dank than this. Though only buy it to play with friends, then it's even more dank.			",0,0,0,0,0,0,0
http://steamcommunity.com/id/MiXiii/,10,1,3.0 hrs on record,"
				5 of 31 people (16%) found this review helpful			","
Posted: December 18, 2016
												Best game ever :)			",30,3,0,0,2,0,1
http://steamcommunity.com/profiles/76561197975067576/,1,1,2.1 hrs on record,"
				7 of 54 people (13%) found this review helpful7 people found this review funny			","
Posted: November 30, 2016
												This game is pretty swate.			",96,9,1,2,6,0,4
http://steamcommunity.com/profiles/76561198089808702/,3,1,11.4 hrs on record,"
				4 of 59 people (7%) found this review helpful1 person found this review funny			","
Posted: December 17, 2016
												This is the most fun i had with $5, and i have done some pretty fun things and this topped it i recommend this game to anyone its really fun with friends			",0,0,0,0,0,0,0
http://steamcommunity.com/profiles/76561198350678137/,12,1,5.4 hrs on record,"
				2 of 57 people (4%) found this review helpful2 people found this review funny			","
Posted: December 17, 2016
												I can assure you that purchasing this game will be the best five bucks you've ever spent. #ripcod			",8,0,0,0,1,0,1
http://steamcommunity.com/profiles/76561198354403649/,10,0,0.3 hrs on record,"
				No ratings yet			","
Posted: March 23
												This Game is so laggy and it's just sucky like the animatons are bad and you can barely play the game.			",5,1,0,3,1,0,0
