user name,user level,positive or negative,total playing time,number of helpful,content,Action,Adventure,Racing,RPG,Simulation,Sports,Strategy
http://steamcommunity.com/id/Strikey1g/,44,1,"7,404.1 hrs on record","
				2,327 of 2,454 people (95%) found this review helpful3,722 people found this review funny			","
Posted: April 1, 2015
												Ruined my life.			",122,4,4,6,5,2,8
http://steamcommunity.com/id/darknightcze/,40,1,"5,757.9 hrs on record","
				777 of 826 people (94%) found this review helpful1,573 people found this review funny			","
Posted: October 28, 2015
												This game saved my virginity.			",0,0,0,0,0,0,0
http://steamcommunity.com/id/the_murdertrain/,20,1,"2,038.6 hrs on record","
				675 of 705 people (96%) found this review helpful61 people found this review funny			","
Posted: September 9, 2014
												This will be more of a ''my experience with this game'' type of review, because saying things like ''great gameplay'' will not suit something I've experienced with Counter-Strike. Here you go:I remember back in 2002 I was at a friend's house and he was playing a game. I didn't know the name of the game nor I had internet to find it. A few weeks passed by and another friend came over. He didn't have a computer, so he brought a disc with a game in it. He told me that it was one of the best games and from that very moment I knew that it is going to be the game I saw at the other friend's house. When I saw the Counter-Strike logo I was filled with gamegasm (?) and I was so happy. I was playing it hardcore. Made friends, clans, was involved in communities and even made two myself. Counter-Strike is my first game which I played competitively and it was a such an experience. Playing public servers with mods were very fun, but playing it competitively made it very intense and stressful. In a pleasant way, ofcourse. Looking at the current e-sport scene it might not seem like much but back then it was different.Shooters these days try to be different, advanced in a way. Sometimes the most simple games like Counter-Strike are the ones that live to this day. Also, there are plenty of mods to keep your attention to this game. The gameplay is very simple - defend as a Counter-Terrorist, attack as a Terrorist to plant the bomb or save the hostages as a CT. I am sure most of you already know this and I doubt there are gamers that haven't heard or know the gameplay of Counter-Strike, so I am sharing here more of my experience.I wish I could find my CS Anthology account which I've lost since 2008.  So, I decided I am going to buy this game again and here you go - more than a thousand hours played. I still play it from time to time to this day and it brings back many great memories and I sometimes even stumble upon people I've played with years ago. I think Counter-Strike changed gaming in a major way and we wouldn't have many games like we have today, if this game wouldn't exist. I am sure many of people already have played games like CS:GO but never the roots. I doubt any of you will play it for more than an hour, because it's much more simple and it differs a lot in my opinion from CS:GO and modern games. It's harder though.			",292,37,2,24,19,1,18
http://steamcommunity.com/id/illbebacksoon/,12,1,"1,931.4 hrs on record","
				750 of 820 people (91%) found this review helpful214 people found this review funny			","
Posted: October 25, 2015
  Easy to learn, hard to master.     ",56,1,1,0,1,0,1
http://steamcommunity.com/id/Lemas650/,21,1,284.5 hrs on record,"
				651 of 711 people (92%) found this review helpful802 people found this review funny			","
Posted: December 11, 2015
												No r8 revolver, 10/10 will play again.			",77,17,0,4,5,0,7
http://steamcommunity.com/id/hedroks/,13,1,643.4 hrs on record,"
				1,063 of 1,198 people (89%) found this review helpful4 people found this review funny			","
Posted: February 7, 2014
												Still better than Call of Duty: Ghosts...			",33,0,0,6,1,0,1
http://steamcommunity.com/id/harli/,22,1,193.6 hrs on record,"
				430 of 462 people (93%) found this review helpful479 people found this review funny			","
Posted: December 1, 2015
												cant buy skins, cases, keys, stickers - gaben cant steal our money10/10 would play again			",64,7,1,7,11,1,2
http://steamcommunity.com/id/19049/,44,1,106.6 hrs on record,"
				540 of 603 people (90%) found this review helpful1,058 people found this review funny			","
Posted: May 2, 2015
												Fire in the Hole Simulator 1999			",113,18,1,13,5,4,9
http://steamcommunity.com/id/NioChowECKSDEE/,23,1,5.2 hrs on record,"
				1,029 of 1,139 people (90%) found this review helpful1,939 people found this review funny			","
Posted: July 27, 2015
												• Do you like original games?• Do you like games that don't lag?• Do you like games you can run on low end PC's?• Do you like games where you don't meet children who have slept with your mother?Then this is for you!			",61,16,0,6,10,1,1
http://steamcommunity.com/id/theplaguedoctor1/,33,1,823.1 hrs on record,"
				409 of 443 people (92%) found this review helpful104 people found this review funny			","
Posted: April 10, 2015
												Counter-Strike: Ok, after 9 years of unlimited fun with friends, I have finally quit counter strike. Counter strike, in all of its versions, its just a great FPS game that anyone can enjoy it. Its a great game and all, you just cant stop playing it, you can just sit and play with your friends for days with out stoping. The huge weaoponary option you can choose and the smooth and sound of the game, its just f*cking addicting. With this games I've met so many different people and unique friends. This game is literally G(OLD). To all the young players who are looking for a good cheep and fun game to play with their friends, I highlly recommend on this. I've got (with steam record) 2,484hrs record in counter strike IN TOTTAL,,, and who knows how many more hrs in a non official steam version of this game.... Great Game. GG WP.And too all the people who will keep playing this game, all I can say, as always,  GL & HF <3			",0,0,0,0,0,0,0
http://steamcommunity.com/id/Socialistandboujee/,14,1,147.1 hrs on record,"
				609 of 686 people (89%) found this review helpful1,555 people found this review funny			","
Posted: December 24, 2014
												Every server is spanish or french.I can now fluently swear in both languages 9/10			",141,11,2,8,10,2,12
http://steamcommunity.com/id/Direct_xd/,96,1,"1,393.0 hrs on record","
				710 of 807 people (88%) found this review helpful1 person found this review funny			","
Posted: November 25, 2013
												I never played a better first person shooter.Graphics doesn't matter for  gamer, gameplay only.			",74,4,1,3,2,0,7
http://steamcommunity.com/profiles/76561198035720497/,30,1,916.2 hrs on record,"
				695 of 795 people (87%) found this review helpful9 people found this review funny			","
Posted: July 8, 2014
												WARNING : DO NOT buy this game, if you do, you'll never see the sunlight again !			",32,6,0,1,2,0,5
http://steamcommunity.com/id/nickdoe/,9,1,"3,364.7 hrs on record","
				687 of 793 people (87%) found this review helpful6 people found this review funny			","
Posted: July 5, 2014
												It's... aight.			",126,6,7,10,6,1,5
http://steamcommunity.com/id/mrmimi/,30,1,754.0 hrs on record,"
				298 of 325 people (92%) found this review helpful871 people found this review funny			","
Posted: January 28, 2015
												I met a lot of people who slept with my mother. 10/10			",53,1,0,4,1,0,2
http://steamcommunity.com/id/RealToTheTenThousandthDegree/,105,1,"6,059.1 hrs on record","
				362 of 397 people (91%) found this review helpful9 people found this review funny			","
Posted: January 13, 2014
												CS is one of the greatest and undermined games in history. It is, in my opinion, the bestgame to ever have a crosshair. It is not a contact sport, so for the girly girls, it is an activity to indulge in.It starts off with a team trying to kill another team. I started playing cs when I noticed jacking off isn't the only activity to do on a computer. I started inviting a lot of friends out and getting drinks, as well as a boom box, to spend a nice summer day in the living room playing this wonderful game. I wanted to play every chance that i could. On my road of cs adventures, I encountered a couple of problems; those being that nobody was as fervent as I was about playing, and that when we did play, nobody was good enough, so it wasn't a lot of fun.Then I discovered that I could sign up for a class with dboorn. I was overly excited, and signed up, but with skepticism at how the class was going to be. Sure enough, I was proven wrong. We started off by practicing a little bit. Then we split off into teams and started playing almost everyday of class. I made some friends, and played with people who had built up their skill gradually over the period of the course.When I play counterstrike, the whole world disappears. Only I, the mouse, and my teammates remain. We are united in a common goal. We strive collectively towards an end we all desire. Each player has a spot to hold. They stand ready and waiting, eager for their chance to aid the team in what they hope will be a forthcoming victory. Thus, CS celebrates the unity of man, the indomitable spirit in all of us that pushes us and drives us towards excellence. When I play CS, I play until my veins pump battery acid, and then I play some more.CS is unique among the games because it teaches all of us that no matter where we are in life, there is a role for us to play, and we can help our fellow man by fulfilling that role, and thereby our destiny. What destiny might you ask? I spoke before of unity. And it is that unity that brings us all together like one big loving family. That is the nature of counter-strike; the many working as one. One machine made of well oiled cogs and wheels, moving in unison, happy to play their part in the production of something greater than themselves. Not that these small metal objects are actually animate, I'm of course speaking only metaphorically.Over the course of the years, I have increased in skill, but I have learned a greater lesson than how to be a better cs player. I have learned how to cooperate with a team to accomplish a goal that we all share. Even if that team is less than ideal. I have realized that cs is about more than just one's athletic ability. Instead, there is a deeper meaning behind the colt, the AK, the AWP, the deagle, the sands under my feet (in d2 or inferno). And more importantly, the teammates at my side. I love them. It is the human element of cs that gives cs its greatness.In conclusion, I love cs. I love to win. I love pushing myself to my physical limits. It's that feeling that first drove me to the computer. For every second that I am not playing cs, there is only an unquenchable thirst to play. A thirst that grows as every minute passes by when I am outside, sitting at the television, or playing sports. I had an extraordinary time playing this game, and I will return to look at the future students of this game to see that bright eager look on their faces to remind me of how I used to feel. This review may be over, this game may be dead, but I will never stop playing couner-strike (1.6).			",21,1,0,0,0,0,0
http://steamcommunity.com/id/exus1/,31,1,"1,416.7 hrs on record","
				323 of 358 people (90%) found this review helpful2 people found this review funny			","
Posted: March 16, 2014
												Ruined my life. 10/10			",139,22,8,20,14,0,30
http://steamcommunity.com/id/enoetukeno/,73,1,135.3 hrs on record,"
				470 of 541 people (87%) found this review helpful657 people found this review funny			","
Posted: October 10, 2014
												When you crouch, you lift your feet in the air and fall to the ground. It's allright.			",0,0,0,0,0,0,0
http://steamcommunity.com/id/cjhunter/,44,1,2.7 hrs on record,"
				498 of 581 people (86%) found this review helpful			","
Posted: November 25, 2013
												Best shooter for 10 years. Steam evolved because of this game.			",367,70,17,16,20,3,30
http://steamcommunity.com/id/SyllianTV/,6,1,228.1 hrs on record,"
				344 of 391 people (88%) found this review helpful1 person found this review funny			","
Posted: November 25, 2013
												One of the best FPS Games, the 1.6 Version will stay always in our hearts. I recommend it vor everyone who wants a tactical/action shooter.			",136,4,1,13,4,1,10
http://steamcommunity.com/id/svirt/,14,1,793.1 hrs on record,"
				269 of 305 people (88%) found this review helpful148 people found this review funny			","
Posted: August 13, 2015
												Many players learned here what do wellknown terms like lag, noob or ragequit mean. Oh how i miss old 1.6 days. 9/10			",320,92,7,54,60,4,68
http://steamcommunity.com/id/exteria_ray/,31,1,663.3 hrs on record,"
				215 of 240 people (90%) found this review helpful207 people found this review funny			","
Posted: November 20, 2015
												Playing it since 2010.Still bad at it.10/10Best game in CS series.			",190,14,4,14,5,2,10
http://steamcommunity.com/id/RomaniaN94/,57,1,"6,433.4 hrs on record","
				337 of 399 people (84%) found this review helpful76 people found this review funny			","
Posted: September 29, 2014
												This game is the best game forever <3			",14,0,0,0,1,0,0
http://steamcommunity.com/id/crooks_st/,21,1,"1,741.1 hrs on record","
				249 of 291 people (86%) found this review helpful57 people found this review funny			","
Posted: November 1, 2014
												Best game ever! Started my gaming addiction :D			",56,4,1,3,3,1,0
http://steamcommunity.com/id/danhsk/,78,1,461.6 hrs on record,"
				329 of 396 people (83%) found this review helpful			","
Posted: November 25, 2013
												Probably the best FPS shooter ever made. Nothing can beat Counter-Strike 1.6.			",0,0,0,0,0,0,0
http://steamcommunity.com/id/Hrvoje/,81,1,962.5 hrs on record,"
				184 of 207 people (89%) found this review helpful			","
Posted: December 26, 2013
												Playing this game since 2001. It ruined my life. Five stars.			",66,3,1,5,9,0,3
http://steamcommunity.com/id/LuckY9712/,20,1,"1,513.1 hrs on record","
				280 of 337 people (83%) found this review helpful94 people found this review funny			","
Posted: August 17, 2015
												Never gets old :)			",185,44,6,17,8,9,16
http://steamcommunity.com/id/yakkety2K/,100,1,57.8 hrs on record,"
				131 of 134 people (98%) found this review helpful68 people found this review funny			","
Posted: August 1, 2016
												20064:3 800x600 ResolutionWindows XP2001 office computer, fully whiteWhite keyboard, grey characters White mouse, grey scroll wheel Public library Half of the people in the room are playing csAfter more than a decade later, this game is still alive. ",127,26,0,1,12,2,0
http://steamcommunity.com/id/Yureina/,25,1,153.7 hrs on record,"
				164 of 179 people (92%) found this review helpful81 people found this review funny			","
Posted: April 14, 2015
												Blame this game for the rise of the online multiplayer modern military shooter. Good game, great custom maps, terrible community. Not much has really changed since 2000, has it?I don't think anyone still plays this particular version of CS though.Edit: Wait, there are over 8,000 people in-game right now. Wow... guess I have to give this a ""yes"" then because it isn't dead.			",241,93,0,62,44,2,65
http://steamcommunity.com/id/pitofinsanity/,43,1,122.2 hrs on record,"
				193 of 226 people (85%) found this review helpful34 people found this review funny			","
Posted: October 21, 2014
Review 21/10/2014:I've played this game since I was around 6 years old back in 2002 and it still makes me laugh and have fun whenever I launch it to this very day. Over 12 years of endless entertainment. No other game on this planet has given me more entertainment and enjoyment than Counter-Strike 1.6 has and I doubt no game ever will.Reason i've only got 38 hours here is because I no longer use the account I originally played cs 1.6 on.func_vehicle is what makes this Counter Strike game the best out of all the others in the franchise.Find a server that has car maps or maps with func_vehicle entities and you will have endless fun running over teammates and enemies in all kinds of hilarious and goofy vehicles not giving a care in the world.You can drive a fork with a meatball on the end of it. Do i need to say more?Mods on this game are amazing too. There is a mod where you can catch pokemon, level them up, train them and use their skills. Call of Duty mod that is suprisingly better than cod its self, Warcraft mods, zombie mods, basebuilder and so on...There is even a map for the jailbreak gamemode that has driveable snowmobiles. 1337/10Leet crew 5 lyfKicks csgo's♥♥♥♥♥by a mile. I forgot how good wallbanging is in this game.P.S - CS 1.6 is the only Counter Strike game where you can headshot with a knife or buy Riot Shields. Enjoy!Oh yeah, you don't have to pay to use sprays in this game either.			",199,22,3,13,16,3,20
http://steamcommunity.com/profiles/76561198020413592/,4,1,"2,985.2 hrs on record","
				172 of 199 people (86%) found this review helpful172 people found this review funny			","
Posted: November 29, 2014
												Well, look at my hours played you can already tell if it's a good game or not. (YES IT IS)			",108,10,0,8,5,1,3
http://steamcommunity.com/id/zzzAAAAzzz/,23,1,"12,999.7 hrs on record","
				165 of 190 people (87%) found this review helpful17 people found this review funny			","
Posted: December 23, 2013
												I miss you Counter-Strike 1.6 !			",526,205,15,34,39,2,57
http://steamcommunity.com/id/numeriusftw/,56,1,476.1 hrs on record,"
				303 of 379 people (80%) found this review helpful225 people found this review funny			","
Posted: October 25, 2014
												Still better than Call of Duty!			",50,5,5,4,6,0,3
http://steamcommunity.com/id/foleyk4t/,34,1,"5,505.1 hrs on record","
				139 of 158 people (88%) found this review helpful440 people found this review funny			","
Posted: June 28, 2016
												haven't played much, but looks ok.			",57,6,3,5,7,0,7
http://steamcommunity.com/id/dinkv/,46,1,718.8 hrs on record,"
				108 of 116 people (93%) found this review helpful14 people found this review funny			","
Posted: April 7, 2015
												WE WONT FORGET 1.6			",3,0,1,0,0,0,0
http://steamcommunity.com/id/svyturioekstra/,34,1,675.9 hrs on record,"
				115 of 127 people (91%) found this review helpful39 people found this review funny			","
Posted: February 14, 2015
												Old But Gold			",16,1,0,0,1,0,0
