user name,user level,positive or negative,total playing time,number of helpful,content,Action,Adventure,Racing,RPG,Simulation,Sports,Strategy
http://steamcommunity.com/id/Envy_Me_1_Forever_Till_Death/,130,1,10.9 hrs on record,"
				203 of 227 people (89%) found this review helpful1 person found this review funny			","
Posted: December 26, 2013
												Prince of Persia is a beautiful game and it's a lot of fun to play. The controls are simple and make all the well animated jumping and running easy to pull off. The graphics are very beautiful, almost like playing in some kind of painting.The game is rather easy, since you can never die. If you fall or miss your jump, your partner Elika will pull you back onto solid ground. If you start to lose in a battle, she will pull you to safety, knocking the enemy back. However, the enemy will regain some of it's lost health for doing so. To me, this is a really great option. Sometimes games are just meant to be fun, and not so much to provide a hardcore challange that will only end up frustrating.Combat is fun and smooth, with great attack animations. You can attack with your sword, you can grab an enemy, and you can let Elika attack. You can combo all sorts of beautiful moves together to make for an awesome fight scene. None of the bad guys should really give you too much trouble, especially since right before you would ""die"", a button will pop up and if you press it in time you avoid the ""final"" blow, so that way Elika doesn't have to save you and the enemy's health stays where it's at.The environments are great to look at. The world starts off all dark and dreary with corruption, but as you heal the lands, everything becomes bright and green and lush again.Most of the time you'll have to go through an area twice, once to get to the fertile ground so you can heal it, and then you'll probably want to go through it again after it's been healed so you can collect all the Light Seeds lying around. You collect Light Seeds in order to ""buy"" special powers that Elika can use for platforming, which allows you to get to new areas.The voice acting and script of the game are not top-notch, but are certainly passable. Personally, I found the soundtrack and plot incredibly pleasing.Overall, Prince of Persia is quite fun; however, it is not for those who don't want to relax. Challenge-seekers will be severely disappointed, and those looking for excitement will also be let down. For those who seek a fun and relaxing experience in a richly textured world, on the other hand, Prince of Persia is the game to play.			",559,95,13,49,23,2,23
http://steamcommunity.com/id/thebigwhoop863/,8,1,14.1 hrs on record,"
				101 of 109 people (93%) found this review helpful4 people found this review funny			","
Posted: October 16, 2014
												The 2008 reboot of Prince of Persia has already gone down in history as a weird specimen, an odd game that was disliked by the series' fans and that Ubisoft hastily tried to sweep under the carpet. As such, I approached the game with a mix of curiosity and caution.What I found was a beautiful, mesmerizing experience.The graphics and the music are striking, from the first moment. I understand that the game extensively cell-shaded appearance can be a love-it-or-hate-it experience which won't appeal to everybody, yet I found the game atmosphere beautiful and enticing. Every scenery is wonderfully drawn, and every moment it feels like you are watching a fairy tale unfold before your eyes. I found myself stopping every now and then to look around and visually explore the enviroment around me, taking the time to appreciate the details of the level rather than just calculating where I should aim my next jump.The rendition of the Prince is also my favourite, so far. Having played through the original Prince of Persia, back in the MS-DOS days, and also through the whole ""Sands of time"" trilogy, I must say I like this version of the Prince the most. This has mainly to do with the Prince's attitude. There is no sense of urgency in this game, no running against the clock, no being pursued by a deadly monster, no ambition, or thirst for power driving the game's protagonist. He simply stumbled upon an ancient evil which is about to be unleashed; however, he still has all the time in the world to stop him. He embraces the adventure he suddenly found himself in and just goes with the flow, always smiling, always relaxed. When controlling the Prince, you can rush from one level to the next, pursuing enemies, or you can stop and go for a walk through the desert under the moon: nobody's coming at you. This is your story, have it your way.Speaking about the actual gameplay, a great deal of criticism stems from its dumbed-down difficulty. In fact, there is no ""game over"" screen, as there is no way to die. Whenever you fall to your death, you witness a cutscene where Elika saves you instead. This is merely a convenience, though: each time you see the cutscene, you know you screwed up; only you don't have to worry about saving, reloading or continuing. To me, that's perfectly fine.Coming from the ""Sands of time"" trilogy, the difficulty of navigating treacherous environments feels reduced as well. There are no spikes or deadly contraptions you have to avoid, most envirnomental hazards are about well-timed jumps and avoiding falls. The controls are easy to master, and there is some amount of auto-pilot helping you navigate the most treacherous parkours. All in all, navigating a level feels more relaxing than challenging, although you will sometime need several attempts to figure out how to traverse a difficult section.The combat system is maybe this game biggest flaw. There are very few enemies scattered throughout the game, so virtually every fight will be a boss fight. You cannot die, but each time you are saved by Elika, your opponent has a chance to recover some life, protracting the battle longer. Fighting in this game is mostly about quick-time events and stringing together your attacks in a long combo, in order to maximize damage. Then it's parrying and ducking, until you can start a combo again. The whole control system seemed stiff here, and whenever I though I had an opening to start a combo I ended up being hit instead. All in all, I never developed a good feeling with the battle system, and boss battles degenerated in a chore rather than a fun experience.Ultimately, this game might not be for players or long time series fan who are looking for a challenge, but I think its visual style and atmosphere earn this title a place in any gamer's collection. It looks and feels like a remarkable work of art; and each time you complete a level, you watch the scenery transform around you, feeling a genuine sense of reward for your efforts. I definitely recommend to try this one out.			",33,19,0,3,0,0,3
http://steamcommunity.com/id/yuehuanyu/,18,1,3.9 hrs on record,"
				86 of 105 people (82%) found this review helpful10 people found this review funny			","
Posted: May 30, 2015
												How I miss you， prince of persia， and the old day of Ubisoft			",0,0,0,0,0,0,0
http://steamcommunity.com/id/ral_XX/,58,1,25.6 hrs on record,"
				68 of 74 people (92%) found this review helpful			","
Posted: October 11, 2015
												LOVED this game. The graphics were beautifulThe banter between the characters was always entertaining. The controls were easy The fight sequences were awesome, loved that you also got to use the princess in your combo moves All around great game Definitely recommend			",75,15,0,13,2,0,0
http://steamcommunity.com/profiles/76561198021551803/,26,1,43.1 hrs on record,"
				62 of 72 people (86%) found this review helpful			","
Posted: February 5
 # Review Scorecard 1 Essential purchase 2 Recommended purchase 3 Recommended purchase during a sale 4 Not recommended unless heavily discounted 5 Not even recommended for Steam game collectors 6 Not rated Format Review Video review 


Prince of Persia (2008) Review 
A Video of Prince of Persia
By: Sir Faulty's gone to Andromeda

			A review of the 2008 Prince of Persia reboot from Ubisoft by Mature Gamer Network. Please consider joining our group on Steam at:- http://steamcommunity.com/groups/MaGaNet or following us at:-...		


 Written review Prince of SlidesIf like me you had become increasingly frustrated with the direction Ubisoft had taken with Prince of Persia: The Two Thrones then Ubisoft Montreal's 2008 reimagining should serve as a reminder as to why you fell in love with the series in the first place. Where Warrior Within and The Two Thrones followed a dark and violent path full of frustratingly constricted enemy encounters and a tone gratingly out of sync with The Sands of Time , this reboot reverberates like a breath of fresh air, the kind of gust that makes you forget about the baggage of diminishing returns The Two Thrones had strapped onto its back.Like many, I was reticent about another Prince of Persia reboot but this version bucks the trend and ends up working wonders because it exists in its own wonderfully crafted universe with a graphical style that is visually ravishing and asks that you kindly forget that Warrior Within and The Two Thrones ever existed. In fact the ""Prince"" in the title is not even a prince but a cocky, wise-cracking thief looking for his donkey - whom he gets separated from during a violent sandstorm - when he comes face to face with a beautiful and mysterious stranger called Elika who is trying to escape from a contingency of guards her father has sent to capture her. We soon learn that Elika is a princess and that her father is the King of the realm that our jarringly Americanized Middle-Eastern ""prince"" finds himself in. Without giving too much of the plot away, Elika's father manages to destroy an ancient tree in a moment of madness, a tree that Elika had sworn to protect because of the evil it contained. Soon the land is engulfed in blackness and corruption as the God of Darkness himself, Ahriman, is released from his prison.


Prince_1 
Community Created Artwork for Steam Artwork
By: Sir Faulty's gone to Andromeda

			Prince of Slides		


What is immediately noticeable with the reboot is how streamlined the combat is from previous versions, but players need fear not because despite being streamlined it's also surprisingly deep. There is a sword attack, an acrobatic move, a gauntlet grab and throw, Elika's magic attack and the standard block. For the most part, you will be looking for an opening in the enemies attack stance before firing off a combination of sword attacks, acrobatics and magical blasts that are incredibly satisfying to pull off when chained together correctly. I was not too enamored with the QTE events that pop up during enemy encounters when things haven't quite gone your way simply because of the speed at which you need to execute them. Encounters do get further complicated by the starting state of an enemy. The starting state of an enemy will determine what type combat combinations you can use against it. Often enemies will switch in and out of states so you will need to adapt your fighting style on the move as some combinations will be useless against an enemy.


Prince_2 
Community Created Artwork for Steam Artwork
By: Sir Faulty's gone to Andromeda

			Here is looking at you kid		


Visually, Prince of Persia (2008) goes for a completely new look with cell shaded graphics that are exquisitely crisp and fluid to look at. This new graphical look often evokes that of a watercolor painting constantly in motion. Like the combat system, this new versions control system has also undergone a revamp and is far more simplified than previous versions. This actually ends up being a welcome addition because it allows for some incredibly cinematic death-defying acrobatics if you manage to string together a successful combination of wall runs, jumps, slides and grapples. Speaking about death-defying stunts, this is one area where the reboot stirs up some controversy. There is no death mechanic. Throughout the entire journey, which lasts roughly between 10-15 hours depending on your playstyle, Elika will not only be an aid in combat but also a lifesaver as she uses her magic abilities to rescue the player from death. I ended up rather enjoying this mechanic because I found it removed the frustration that often accompanies these precision point adventures. Elika ends up being a useful and incredibly likable sidekick that thankfully doesn't simply exist in the game world as a poor damsel in distress waiting for a strapping young hero or plumber to come along and save her. Conclusion I found this reboot successfully achieved everything it set out to do. It's gorgeous to look at, exhilarating to play and has a surprising little twist at the end. By the time I had completed the game I was so immensely satisfied with the experience that it is now my favorite game in the entire franchise. If you enjoyed this review please follow us @ Links Follow our group Mature Gamer Network Join our group Mature Gamer Network ",1622,801,57,209,126,13,172
http://steamcommunity.com/id/Dooleh/,7,1,5.6 hrs on record,"
				40 of 50 people (80%) found this review helpful15 people found this review funny			","
Posted: June 22, 2015
												Having already beaten this game in 2008, I remember loving everything about it, the graphics, the voice acting, the gameplay... everything was perfect. So the idea was to instal and play a relaxing game while I wait for Arkham Knight to get released.Well, the 2008 me was kinda wrong... the combat in this game is just awful and cringe inducing, I have no idea what they were thinking when they made it so that you're blocking 70% of the time, with maybe 15% of free fighting, and 15% quick time events/button mashing. Maybe they were trying to make it harder artificially when they realized the game was too short and fun and easy, I don't know... but I wish the game had 0 combat and more environmental puzzles to fill in the blanks. Luckily though, there are not a ton of fights in the game, so they don't completely destroy the mood.The controls could be a bit tighter, but they aren't horrible, they work... I mean it's a Ubisoft parkour game, you can't expect anything more out of it really.The story is next to non-existent and that's OK. You're looking for a donkey, but instead you find a princess, now help her save the world... c'mon man, do it! She may not be a donkey, but she's hawt.The game came out in 2008, and it looks absolutely amazing even by today's standards, with maybe some stiff animations and facial expressions that wouldn't be present if it were released today.All in all, if you love and miss Playstation 2 era platformers, this game just might tickle your nut$@k. - 7.5/10			",949,265,37,129,50,12,135
http://steamcommunity.com/profiles/76561198093839503/,31,1,4.4 hrs on record,"
				38 of 44 people (86%) found this review helpful1 person found this review funny			","
Posted: August 4, 2015
												An underrated blast.It may be very different to the other Prince of Persia games, but thats what makes it stand out to me. Most people complain about how you can't actually die in this game, however most people don't seem to realise that Elika saving you whenever you 'die' is just a replacement for the sands of time in the original trillogy (The time reversing mechanic).The writing is funny and it's great to look at too. My only complaint is that the combat can be too simple at times, the ability to fight more than one enemy at once would have spiced things up!This game is great!			",27,2,0,3,3,0,1
http://steamcommunity.com/id/xaeleep/,12,1,25.0 hrs on record,"
				38 of 45 people (84%) found this review helpful			","
Posted: November 26, 2013
												A rather underappreciated game that fails to innovate like previous installments in the series have, yet, it delivers a thrilling adventure, beatiful enviroments, great platforming and parkour experience. This, mixed with a lackluster fighting system it gets a solid recommendation. While the game itself is not on par with the Sands of time trilogy in terms of fighting mechanics, it sure delivers a story that will stick, a beatiful, cel shaded world that encourgaes to explore through the platforming system that is as satisfying as always.It feels like Ubisoft took a hasty look at The Two Thrones, threw all mechanics out the window and started fresh with everything but the core of the franchise. The instant revival system that recieved a tsunami of hate is there, yes, however this is not necessarily a bad thing. While the fact that you get pulled from every jump you miss shortens the game somehwhat, it gives the more casual gamers a try to get involved in this massive laborynth called gaming. 7/10 - Great bang for the buck// Xaeleep 26/11-13			",85,8,1,4,5,1,14
http://steamcommunity.com/id/rafflecastel/,23,1,9.9 hrs on record,"
				27 of 32 people (84%) found this review helpful1 person found this review funny			","
Posted: March 9, 2016
												Great little gem, although a Prince of Persia game only in name.+ Beautiful stylish graphics, voice acting and musical score (the best out of the PoP games).+ Great characters and simple plot, easy to let yourself invest in what's going on and get emotional attachment+ Mix of platforming and cool powers+ Genuinely funny and charming- Sometimes repetitive- Awkward camera anglesThe ending will leave you in the same state as Shadow of the Colossus			",392,81,11,42,24,1,41
http://steamcommunity.com/id/spincube/,54,0,11.1 hrs on record,"
				96 of 157 people (61%) found this review helpful2 people found this review funny			","
Posted: February 22, 2014
												This game is beautiful, but bland. Most of your time will be spent parkour-ing around mini-hubs in search of enough collectibles to open up further mini-hubs to parkour around to collect more collectibles, and so on.There is one way to play this game: each location has a set number of collectibles to find, that can only be accessed by taking a specific route. Failure to take the appropriate route - for example, by mis-timing a jump, or falling into a trap - means you get caught by your companion, and dropped off at the last flat terrain you were stood on. This means there's very little sense of scale to your surroundings: the only difference between being hundreds of feet in the air dangling from a cliff edge, or hanging from an archway above the ground, is the skybox. Fall off the edge and whoops, try again, you're back at the start.The graphics are sharp and vivid, colours are vibrant, and there's a clear distinction between areas you've 'healed' and those that are on the checklist. There's even a nice subtle visual effect - what's it called? where the corners of the screen dim? - that appears when you pass from safe to dangerous areas.There's not really a lot to the game, in all honesty. What kills it for me is the total lack of variety - enemies are few and far between, and generally exist as an obstacle to slow down your progress (as with the collectibles). Combat consists of waiting for the enemy to strike, parrying, and using a certain weapon to attack (that the game helpfully pauses combat to explain). Even the parkour isn't very interesting, as all the areas you are capable of traversing are marked with certain visual cues: 'wallrun here' areas are all marked with the same scraped texture, for example, and 'climb this ledge' areas have the same scuffed edges. So there's hardly even a sense of exploration, or experimentation: it's like you're told how to solve the puzzle before even attempting the puzzle.Other miscellaneous points:The player protagonist isn't either an obnoxious misanthrope, or a wisecracking cynic. Dude just wants to save the day and then go home with his donkey, which is admirable. The Princess is your standard warm-hearted 'i must reclaim my land from evil' archetype, but mostly exists outside of cutscenes to be dragged around the scenery with you and fed the collectibles.The game itself is fully controller-compatible, but for some reason there's a launcher screen with a 'Launch the game!' option that you'll need a mouse for. Of course, graphics options etc. are also to be found in the launcher, rather than in-game.The soundtrack isn't anything to celebrate: vague 'you are exploring an Arabian Nights-ish landscape' sonic wallpaper, nothing special or memorable.			",178,45,3,12,11,1,19
