user name,user level,positive or negative,total playing time,number of helpful,content,Action,Adventure,Racing,RPG,Simulation,Sports,Strategy
http://steamcommunity.com/profiles/76561198053485249/,8,1,0.1 hrs on record,"
				0 of 3 people (0%) found this review helpful			","
Posted: January 5
												Fantastic, needs more hay though.			",75,4,0,1,14,1,2
http://steamcommunity.com/id/jkgatling251/,18,1,0.1 hrs on record,"
				3 of 27 people (11%) found this review helpful7 people found this review funny			","
Posted: August 7, 2016
												Several, and I mean SEVERAL choices of hats available for Snow Horse, whislt I do feel it would benefit from some sort of medieval helmet amongst the hats I still gotta rate the hat section of snow horse a solid 8/10.			",320,35,7,33,35,3,32
http://steamcommunity.com/profiles/76561198155238139/,5,1,0.2 hrs on record,"
				5 of 35 people (14%) found this review helpful			","
Posted: August 4, 2016
												Love it hope in the future there is a multi player option with really hard maps so its a race 10/10 would play again			",23,1,0,0,2,0,0
http://steamcommunity.com/id/ROFLBOB/,25,0,1.0 hrs on record,"
				64 of 72 people (89%) found this review helpful1 person found this review funny			","
Posted: August 4, 2016
Product received for free



YouTube™ Video: SNOW HORSE REVIEW | DO MEME GAMES BELONG ON STEAM? 

			Views: 3,399		

			It's a game about a snowboarding horse. Is this what thousands of years of human civilization has come to? To check the game out on Steam, head over to http://store.steampowered.com/app/270030/ It's...		

I really don't recommend this game. It's extremely shallow, there's practically no gameplay, the novelty wears off after a few seconds, and you can experience everything in the game in under 10 minutes.			",210,29,3,36,42,5,11
http://steamcommunity.com/id/JamieTGS/,12,0,0.1 hrs on record,"
				27 of 35 people (77%) found this review helpful3 people found this review funny			","
Posted: August 6, 2016
Product received for free
												So good, most reviewers here on Steam have played the game for all of 10 minutes before making their conclusions. Yes, the game is that shallow. There is nothing to this 'game'. It's really not worth £4.31. I received the 'game' for free and I still feel like perhaps I should be refunded. You are a horse on a snowboard. The levels are stupid, the horse physics are stupid. The stunts are stupid. You'll honestly be bored of this is around 5 minutes.Click a direction and stunt button.Land the trick.Repeat until end of circuit.Move on to next Circuit.Put hat on horse.Put different hat on horse.Put horse on new snowboard.Back to circuit.Do tricks.Get bored.Turn off Snow Horse.Move on to different game.£4.31 would be better spent throwing your coins into actual snow and trying to find them again.Update: No price drop and the game is still just as bad. On top of that, the trailer and song make me want to gouge my ears and eyes out.			",287,31,29,8,18,2,10
http://steamcommunity.com/profiles/76561198299881228/,2,1,0.2 hrs on record,"
				1 of 18 people (6%) found this review helpful1 person found this review funny			","
Posted: August 20, 2016
Product received for free
												""Snow Horse is a simple yet hilarious game and I laughed my♥♥♥♥♥off playing it. It’s meant to be funny and silly and to make you smile. As Snowhorse’s developer, Kinifi Games says: “I'm so excited to share it with everyone! This game isn't to be taken seriously. That it exists is a joke in itself.” Well Kinifi Games, I can only say that I really liked your joke; it managed to make me laugh out loud on more than one occasion!""To read our full review, please visit www.dumeegamer.com ",20,18,0,0,1,0,1
http://steamcommunity.com/id/Fuzzga/,15,0,1.2 hrs on record,"
				19 of 22 people (86%) found this review helpful4 people found this review funny			","
Posted: August 8, 2016
												This game brought out a rage in me the likes of which I never expected to see from myself. I thought Snowhorse was a novel concept and that I was in for a fun time but that quickly went away because of how inconsistent this game is. The high frequency of seemingly random deaths very quickly killed the experience for me. If it wasn't so buggy this game would have the potential to be a really fun little game. If it gets fixed I think this game could be great, and I want it to be great. Until then I can't reccomend this game.			",154,71,3,11,13,3,22
http://steamcommunity.com/profiles/76561198120922047/,9,1,24.0 hrs on record,"
				3 of 18 people (17%) found this review helpful1 person found this review funny			","
Posted: August 17, 2016
												Snow Horse is likely one of the most unique experiences you’ll find this year. It has responsive well designed controls and plays like a hybrid of Cool Boarders 3 and the older style Tony Hawk games that were produced by Activision. This is a game best enjoyed with headphones, the soundtrack is really a star player in this frigid equine cast and I find myself leaving the game open just to listen to it while I’m working.The price point is good, and makes this game a great gifting idea!P.S. You can also make the horse wear a top hat.			",125,31,1,16,31,1,18
http://steamcommunity.com/id/foxylight/,10,1,0.4 hrs on record,"
				5 of 35 people (14%) found this review helpful6 people found this review funny			","
Posted: August 5, 2016
												There are few moments in the history of games, where you have to take a step back, and appreciate the majesty of a single moment that transcends gaming, art, culture, the boundaries of human imagination. That moment... is SNOWHORSE.			",89,17,0,11,11,2,12
http://steamcommunity.com/profiles/76561197973478146/,21,1,0.1 hrs on record,"
				9 of 45 people (20%) found this review helpful3 people found this review funny			","
Posted: August 4, 2016
												You're probably thinking... What the heck  is this?It's a game you must have! It brings me back to my childhood, playing snowboard games on my PS1. But now, it's a horse instead of a human snowboarding! Could it be any better?			",168,40,11,24,42,2,35
http://steamcommunity.com/id/idioten1337/,19,1,0.4 hrs on record,"
				6 of 38 people (16%) found this review helpful8 people found this review funny			","
Posted: August 4, 2016
												Fun game.10/10 would horse again			",97,5,4,3,7,4,7
http://steamcommunity.com/id/tyevans498/,3,1,0.7 hrs on record,"
				6 of 40 people (15%) found this review helpful5 people found this review funny			","
Posted: August 4, 2016
Product received for free
												Seriously best-snowboarding horse simulator on the market today. Best sim on Steam right now, get it!!!			",12,3,0,1,3,0,0
http://steamcommunity.com/id/AlaxMox/,64,1,0.2 hrs on record,"
				4 of 44 people (9%) found this review helpful10 people found this review funny			","
Posted: August 4, 2016
												Best Snow Game Ever!10/10 would horse again			",138,21,1,8,24,1,5
http://steamcommunity.com/profiles/76561198269146313/,4,0,0.2 hrs on record,"
				No ratings yet			","
Posted: March 19
												The best thing since sliced bread...I don't like sliced bread.			",21,6,0,4,5,0,0
