user name,user level,positive or negative,total playing time,number of helpful,content,Action,Adventure,Racing,RPG,Simulation,Sports,Strategy
http://steamcommunity.com/id/mcfroogle/,18,1,5.5 hrs on record,"
				65 of 69 people (94%) found this review helpful1 person found this review funny			","
Posted: December 1, 2012
												A very nice, highly tactical game with an unusual difficulty curve (not really a curve), some patches are exceptionally hard and require pin point timing and planning where as some scenarios you can simply run in and punch. I got into the series when I got a demo of the 1st game ""Desperado: Wanted Dead or Alive"" free with a box a cereal (what a great promotion). I remember spending hours and hours silently knocking out every enemy in the one demo level and hiding their bodies in various outbuildings. This game still has the same great core game play with some less welcome mechanics bolted on such as the 1st person mode and movie export mode. This title improves upon the originals planning system in which you can set up satisfying combinations involving all your people silently taking down how a town. Some people may be put off by the large quantity of quick-saves and loading, but in this tittle I see it as slowly creating a masterpiece stroke by stroke. All in all I highly recommend this title or if you can get hold of it cheap, then ""Desperado: Wanted Dead or Alive""			",534,202,21,101,77,8,125
http://steamcommunity.com/profiles/76561197991103051/,29,0,0.6 hrs on record,"
				49 of 95 people (52%) found this review helpful5 people found this review funny			","
Posted: October 5, 2014
												Jesus christ...... This game is horrible.Ever time you launch it it tries to install some♥♥♥♥♥♥3rd party crap you have to cancle. There is about 1000 commands you can give with no tooltips on anything. You dont know what anything freaking does untill you try it out. You dont know anything about the terrain... like can I shoot over this rock? or will the dyamite just hit the rock and kill me?The controlls are just clunky. Half of the moves require you to click 10 different things hold down 2 buttons and eventually you can get something done.The story is boring and who cares. You are supposed to be saving your friend and I am not sure if I missed a game or something but I dont know who he is nor do I give a toss about him.The auto save function doesn't overwrite itself so with each quicksave you will create a new save file.The characters wont shut the hell up. The talk whenever you click anything and the voice action is alright at best.Do not buy this game. Its just not worth it.			",271,45,1,57,28,2,30
http://steamcommunity.com/profiles/76561198026294374/,5,1,46.1 hrs on record,"
				26 of 32 people (81%) found this review helpful			","
Posted: January 2, 2015
												The third in the Desperados series, and in my opinion, the best. Criminally underrated and overlooked strategy title. Be warned, the difficulty in Helldorado is a lot higher than the other games.			",0,0,0,0,0,0,0
http://steamcommunity.com/id/lacushungaricus/,4,1,56.4 hrs on record,"
				14 of 24 people (58%) found this review helpful1 person found this review funny			","
Posted: November 3, 2014
												Back to the Wild West. If you loved the strategy game Commandos, you need this game. Prepare, it is harder than Commandos, but not impossible. I recommend you to start on a hard level to enjoy the game for lot of hours.			",20,3,1,3,10,1,4
http://steamcommunity.com/id/lubnadk/,13,1,19.0 hrs on record,"
				1 person found this review helpful			","
Posted: November 30, 2015
												I played all 3 Desperados games; they all never failed to disappoint but I just wish they were as challenging as the first game in 2002.			",9,14,0,3,0,0,1
http://steamcommunity.com/id/monkeywithashotgun/,6,0,2.7 hrs on record,"
				22 of 46 people (48%) found this review helpful4 people found this review funny			","
Posted: September 18, 2014
												The first game was a jewel, sadly it doesn't run well on recent operating systems. This sequel is an outrage, with poor story, terrible level design, abysmal AI, uninteresting gameplay, and shallow graphics.			",0,0,0,0,0,0,0
http://steamcommunity.com/id/csab/,157,1,12.7 hrs on record,"
				46 of 54 people (85%) found this review helpful1 person found this review funny			","
Posted: January 22, 2014
												Love this game! If you liked the first one in the series (Desperados) you will like this one too. It's not an easy game, sure, but it's rewarding, especially when you're not just shooting, but trying to outsmart the enemies. I recommend it to every strategy fan who have patience.			",149,47,6,23,25,1,28
http://steamcommunity.com/profiles/76561198024520683/,27,1,27.4 hrs on record,"
				37 of 43 people (86%) found this review helpful2 people found this review funny			","
Posted: May 24, 2012
												Helldorado is the third game of the Desperados-series. First in the series we have ""Desperados: Wanted Dead or Alive"" which basically was ""Commandos"" in a western atmosphere. Then came ""Desperados 2: Coopers Revenge"". And finally ""Helldorado"".. And you know what? IT SUCKS BIG TIME!I Kidd, I Kidd! :-)Via google I had a hard time making out if ""Helldorado"" just was another name for ""Desperados 2: Coopers Revenge"" or if it was new game. Luckily for me it was a totally new game that picks up where Desperados 2: Coopers Revenge left off.StoryThe beginning of the story is somewhat cheesy and random but one improvement with this game is that the story takes different turns with timen and make the overall experience more exciting.GameplayThis game is partly different from the original. In the original you usually have objectives as a sidemission. On most levels you have to kill all enemies no matter what the mission is. But in this game some levels are more oriented on the mission. Do you finish the mission you don't have to kill everyone in sight or even two thirds of them. This fact make you look more for patterns and you can choose in a wider sense what you can and MUST do. The missions also have differnet styles. For example, one mission is purely action and is more like Hitman than the original game.Set The Controls For The Heart Of The SunAs this game (and Desperados 2) has the ""option"" of playing in first person mode the controls and change of camera angle bothered me quite a bit. I found myself using the first person mode more than the upper view even though I prefer the upper view (it just was easier not having to change the view all the time). The controls aren't horrible but they seemed very rushed and could have been alot more smooth and natural. Difficult to CureThe controls make this game a bit harder than it should be. Other than that the difficulty depends on the level you are at. I am not exactly sure but I think it was the second level of the game that took the longest time to finish for me. Meanwhile the ""Hitman level"" just went straight ahead.. And that is one of the later levels mind you. A level in one of these games is never ""easy"" but there definitely are different shades of grey.Enemies and FriendsThis has the same characters as the second game. They are still entertaining to play and as fun to watch as ever (between missions) but I would have liked to try one or two new faces with some different abilties. If only for a few missions. The enemies is a bit smarter in this game as well. Some will make you scream naughty things. They might respond in different ways at different times. Which make it harder to make the right response.Nobody's Fault..But the creators of the game. One thing that shouldn't be is the fact that some levels must be played again and again with different objectives. Which just drags the game down. Each level takes quite a bit of time if you hare not really, really good. Do you then want to replay basically the same thing again? NO, you wouldn't. This game would get one grade higher from me if just all levels was different. Personal sidenoteI long for another game in the style of Commandos or Desperados (or one of them). The style of these game might not be for the biggest market (aka. Grand Theft Auto, World of Warcraft or Fifa) but it is for me! If one is ever made.. You have a customer right here mate!Grade: 7 / 10			",30,2,0,0,0,0,11
http://steamcommunity.com/id/rascilon/,23,1,0.2 hrs on record,"
				29 of 39 people (74%) found this review helpful2 people found this review funny			","
Posted: March 9, 2012
												A solid tactical strategy game in the spirit of Fallout Tactics or Jagged Alliance 2.  Helldorado offers depth and rewards the patient player willing to invest the time to create the perfect group combat strategy.  While the graphics are decidedly average and the Steam Overlay does not work, the addition of a first person action view, in addition to the overhead zoomable tactical view give the player a variety of choice when planning the attack.  This game is worth the bargain price for players who don't mind a high learning curve and are patient enough to carefully strategize.			",1052,329,48,158,114,10,216
http://steamcommunity.com/id/darknetfan/,26,1,0.7 hrs on record,"
				1 person found this review helpful			","
Posted: August 15, 2015
												This is a pretty cool stealth game where you play a group of people trying to overcome groups of enemies by sneaking up on them and taking them out. It's rather detailed, which I love. I got this in a bundle, so it was definitely worth it.			",309,85,4,34,26,2,35
